DATE	NEW	CASES	VAR	NET
18 Aug 23	2,123	4,096,701	NA	2,115
11 Aug 23	1,993	4,094,586	NA	1,976
04 Aug 23	1,978	4,092,610	NA	1,977
28 Jul 23	1,949	4,090,633	NA	1,946
21 Jul 23	2,262	4,088,687	NA	2,256
14 Jul 23	2,854	4,086,431	NA	176
07 Jul 23	4,234	4,086,255	NA	4,231
30 Jun 23	3,356	4,082,024	NA	3,353
23 Jun 23	5,570	4,078,671	NA	5,561
16 Jun 23	6,906	4,073,110	NA	6,902
09 Jun 23	11,719	4,066,208	NA	11,706
02 Jun 23	13,480	4,054,502	NA	13,474
26 May 23	14,409	4,041,028	NA	14,406
19 May 23	14,699	4,026,622	NA	14,663
12 May 23	12,980	4,011,959	NA	12,975
05 May 23	12,323	3,998,984	NA	12,319
28 Apr 23	11,745	3,986,665	NA	11,742
21 Apr 23	12,393	3,974,923	NA	12,388
14 Apr 23	9,646	3,962,535	NA	9,639
07 Apr 23	9,876	3,952,896	NA	9,765
31 Mar 23	9,684	3,943,131	NA	9,684
24 Mar 23	8,563	3,933,447	NA	8,555
17 Mar 23	8,905	3,924,892	NA	8,900
10 Mar 23	7,871	3,915,992	NA	7,863
03 Mar 23	7,163	3,908,129	NA	7,160
24 Feb 23	6,545	3,900,969	NA	6,538
17 Feb 23	6,033	3,894,431	NA	6,029
10 Feb 23	6,440	3,888,402	NA	6,401
03 Feb 23	6,567	3,882,001	NA	6,563
27 Jan 23	7,653	3,875,438	NA	7,647
20 Jan 23	9,062	3,867,791	NA	9,054
13 Jan 23	14,053	3,858,737	NA	13,859
06 Jan 23	19,793	3,844,878	NA	19,774
30 Dec 22	27,665	3,825,104	NA	27,653
23 Dec 22	38,610	3,797,451	NA	38,331
16 Dec 22	40,695	3,759,120	NA	40,680
09 Dec 22	40,194	3,718,440	NA	40,179
02 Dec 22	37,796	3,678,261	NA	37,781
25 Nov 22	31,531	3,640,480	NA	31,506
18 Nov 22	27,869	3,608,974	NA	27,864
11 Nov 22	19,800	3,581,110	NA	19,375
04 Nov 22	12,450	3,561,735	NA	12,440
28 Oct 22	10,050	3,549,295	NA	10,031
21 Oct 22	8,836	3,539,264	NA	8,821
14 Oct 22	11,900	3,530,443	NA	11,810
07 Oct 22	10,767	3,518,633	NA	10,753
30 Sep 22	12,592	3,507,880	NA	12,574
23 Sep 22	14,170	3,495,306	NA	14,155
16 Sep 22	17,229	3,481,151	NA	17,392
09 Sep 22	2,920	3,463,759	NA	2,722
08 Sep 22	3,334	3,461,037	NA	3,316
07 Sep 22	3,666	3,457,721	NA	3,660
06 Sep 22	3,000	3,454,061	NA	2,985
05 Sep 22	2,341	3,451,076	NA	2,330
04 Sep 22	2,887	3,448,746	NA	2,880
03 Sep 22	3,602	3,445,866	NA	3,592
02 Sep 22	4,169	3,442,274	NA	4,157
01 Sep 22	4,701	3,438,117	NA	4,684
31 Aug 22	5,434	3,433,433	NA	5,418
30 Aug 22	4,271	3,428,015	NA	4,259
29 Aug 22	3,394	3,423,756	NA	3,375
28 Aug 22	4,160	3,420,381	NA	4,155
27 Aug 22	4,738	3,416,226	NA	4,726
26 Aug 22	5,645	3,411,500	NA	5,630
25 Aug 22	5,790	3,405,870	NA	5,770
24 Aug 22	6,690	3,400,100	NA	6,668
23 Aug 22	5,567	3,393,432	NA	5,551
22 Aug 22	5,013	3,387,881	NA	4,984
21 Aug 22	4,335	3,382,897	NA	4,310
20 Aug 22	6,116	3,378,587	NA	6,090
19 Aug 22	6,899	3,372,497	NA	6,865
18 Aug 22	8,149	3,365,632	NA	8,126
17 Aug 22	8,064	3,357,506	NA	8,019
16 Aug 22	7,145	3,349,487	NA	7,114
15 Aug 22	5,490	3,342,373	NA	5,471
14 Aug 22	6,979	3,336,902	NA	6,939
13 Aug 22	8,217	3,329,963	NA	8,203
12 Aug 22	9,528	3,321,760	NA	9,505
