DATE	NEW	CASES	VAR	NET
18 Aug 23	1,008	1,728,019	NA	1,008
11 Aug 23	1,281	1,727,011	NA	1,281
04 Aug 23	1,344	1,725,730	NA	1,344
28 Jul 23	1,463	1,724,386	NA	1,463
21 Jul 23	1,631	1,722,923	NA	1,631
14 Jul 23	1,757	1,721,292	NA	1,757
07 Jul 23	2,135	1,719,535	NA	2,135
30 Jun 23	2,583	1,717,400	NA	2,583
23 Jun 23	3,171	1,714,817	NA	3,171
16 Jun 23	3,787	1,711,646	NA	3,787
09 Jun 23	5,474	1,707,859	NA	5,474
02 Jun 23	5,439	1,702,385	NA	5,439
26 May 23	5,299	1,696,946	NA	5,299
19 May 23	4,914	1,691,647	NA	4,914
12 May 23	4,130	1,686,733	NA	4,130
05 May 23	3,435	1,682,603	NA	3,621
28 Apr 23	3,561	1,678,982	NA	3,664
21 Apr 23	4,060	1,675,318	NA	4,862
14 Apr 23	3,472	1,670,456	NA	4,082
07 Apr 23	3,953	1,666,374	NA	2,753
31 Mar 23	3,650	1,663,621	NA	3,708
24 Mar 23	3,207	1,659,913	NA	3,256
17 Mar 23	3,049	1,656,657	NA	3,147
10 Mar 23	3,335	1,653,510	NA	-146,726
03 Mar 23	4,028	1,800,236	NA	3,603
24 Feb 23	3,950	1,796,633	NA	3,488
17 Feb 23	4,166	1,793,145	NA	3,643
10 Feb 23	3,866	1,789,502	NA	3,520
03 Feb 23	4,414	1,785,982	NA	4,094
27 Jan 23	4,908	1,781,888	NA	4,753
20 Jan 23	5,940	1,777,135	NA	5,394
13 Jan 23	9,386	1,771,741	NA	8,524
06 Jan 23	10,696	1,763,217	NA	19,601
30 Dec 22	N/A	1,743,616	NA	0
23 Dec 22	15,325	1,743,616	NA	13,713
16 Dec 22	16,600	1,729,903	NA	15,320
09 Dec 22	13,632	1,714,583	NA	12,269
02 Dec 22	11,217	1,702,314	NA	9,136
25 Nov 22	10,082	1,693,178	NA	10,082
18 Nov 22	10,106	1,683,096	NA	9,298
11 Nov 22	5,828	1,673,798	NA	5,360
04 Nov 22	4,427	1,668,438	NA	4,067
28 Oct 22	4,447	1,664,371	NA	4,163
21 Oct 22	5,823	1,660,208	NA	4,943
14 Oct 22	7,064	1,655,265	NA	5,906
07 Oct 22	7,970	1,649,359	NA	7,970
30 Sep 22	8,061	1,641,389	NA	7,170
23 Sep 22	9,166	1,634,219	NA	11,234
16 Sep 22	10,009	1,622,985	NA	2,951
09 Sep 22	1,426	1,620,034	NA	1,434
08 Sep 22	1,564	1,618,600	NA	1,564
07 Sep 22	1,776	1,617,036	NA	1,773
06 Sep 22	1,631	1,615,263	NA	1,636
05 Sep 22	1,008	1,613,627	NA	3,427
04 Sep 22	N/A	1,610,200	NA	0
03 Sep 22	N/A	1,610,200	NA	0
02 Sep 22	1,794	1,610,200	NA	1,799
01 Sep 22	2,033	1,608,401	NA	2,031
31 Aug 22	2,294	1,606,370	NA	2,288
30 Aug 22	2,404	1,604,082	NA	2,406
29 Aug 22	1,233	1,601,676	NA	1,224
28 Aug 22	1,125	1,600,452	NA	1,129
27 Aug 22	1,852	1,599,323	NA	1,853
26 Aug 22	2,091	1,597,470	NA	2,104
25 Aug 22	2,216	1,595,366	NA	2,210
24 Aug 22	2,612	1,593,156	NA	2,621
23 Aug 22	2,782	1,590,535	NA	-3,079
22 Aug 22	1,587	1,593,614	NA	1,591
21 Aug 22	1,166	1,592,023	NA	1,148
20 Aug 22	2,647	1,590,875	NA	2,653
19 Aug 22	2,746	1,588,222	NA	2,745
18 Aug 22	3,060	1,585,477	NA	3,058
17 Aug 22	3,082	1,582,419	NA	3,085
16 Aug 22	3,232	1,579,334	NA	3,232
15 Aug 22	1,901	1,576,102	NA	1,904
14 Aug 22	1,944	1,574,198	NA	1,946
13 Aug 22	3,132	1,572,252	NA	3,156
12 Aug 22	3,303	1,569,096	NA	3,308
11 Aug 22	3,358	1,565,788	NA	3,345
10 Aug 22	3,809	1,562,443	NA	3,787
09 Aug 22	4,141	1,558,656	NA	4,134
08 Aug 22	2,504	1,554,522	NA	2,504
07 Aug 22	2,649	1,552,018	NA	2,629
06 Aug 22	4,174	1,549,389	NA	4,166
05 Aug 22	4,926	1,545,223	NA	4,914
04 Aug 22	5,585	1,540,309	NA	5,571
03 Aug 22	6,399	1,534,738	NA	6,396
02 Aug 22	6,249	1,528,342	NA	6,251
01 Aug 22	4,303	1,522,091	NA	9,200
31 Jul 22	4,655	1,512,891	NA	6,023
30 Jul 22	18,678	1,506,868	NA	18,677
29 Jul 22	9,420	1,488,191	NA	9,414
28 Jul 22	7,364	1,478,777	NA	7,332
27 Jul 22	8,209	1,471,445	NA	8,215
26 Jul 22	8,612	1,463,230	NA	8,613
25 Jul 22	6,109	1,454,617	NA	6,106
24 Jul 22	5,804	1,448,511	NA	5,797
23 Jul 22	7,644	1,442,714	NA	7,634
22 Jul 22	9,023	1,435,080	NA	9,026
21 Jul 22	11,687	1,426,054	NA	11,672
20 Jul 22	9,650	1,414,382	NA	9,660
19 Jul 22	9,992	1,404,722	NA	10,021
18 Jul 22	6,682	1,394,701	NA	6,697
17 Jul 22	5,989	1,388,004	NA	5,991
16 Jul 22	5,795	1,382,013	NA	5,795
15 Jul 22	6,336	1,376,218	NA	6,325
14 Jul 22	6,900	1,369,893	NA	6,905
13 Jul 22	7,517	1,362,988	NA	7,546
12 Jul 22	6,768	1,355,442	NA	6,768
11 Jul 22	4,804	1,348,674	NA	4,810
10 Jul 22	4,174	1,343,864	NA	4,184
09 Jul 22	5,315	1,339,680	NA	5,317
08 Jul 22	5,726	1,334,363	NA	5,743
07 Jul 22	5,980	1,328,620	NA	5,984
06 Jul 22	5,878	1,322,636	NA	5,891
05 Jul 22	5,698	1,316,745	NA	5,703
04 Jul 22	4,056	1,311,042	NA	4,059
03 Jul 22	3,971	1,306,983	NA	3,976
02 Jul 22	4,976	1,303,007	NA	4,976
01 Jul 22	5,313	1,298,031	NA	5,322
