DATE	NEW	CASES	VAR	NET
18 Aug 23	481	929,773	NA	481
11 Aug 23	503	929,292	NA	-3,648
04 Aug 23	526	932,940	NA	527
28 Jul 23	481	932,413	NA	481
21 Jul 23	634	931,932	NA	393
14 Jul 23	802	931,539	NA	823
07 Jul 23	993	930,716	NA	4,924
30 Jun 23	1,183	925,792	NA	-100
23 Jun 23	1,351	925,892	NA	2,613
16 Jun 23	1,592	923,279	NA	1,591
09 Jun 23	2,593	921,688	NA	2,604
02 Jun 23	3,728	919,084	NA	3,738
26 May 23	4,012	915,346	NA	4,023
19 May 23	3,256	911,323	NA	3,246
12 May 23	2,471	908,077	NA	2,474
05 May 23	2,363	905,603	NA	2,363
28 Apr 23	2,674	903,240	NA	2,665
21 Apr 23	2,509	900,575	NA	2,504
14 Apr 23	3,173	898,071	NA	3,524
07 Apr 23	2,719	894,547	NA	2,619
31 Mar 23	3,179	891,928	NA	3,153
24 Mar 23	2,888	888,775	NA	2,814
17 Mar 23	2,347	885,961	NA	2,341
10 Mar 23	1,712	883,620	NA	1,709
03 Mar 23	1,700	881,911	NA	1,704
24 Feb 23	1,777	880,207	NA	1,771
17 Feb 23	1,720	878,436	NA	1,714
10 Feb 23	1,495	876,722	NA	1,558
03 Feb 23	1,286	875,164	NA	1,357
27 Jan 23	1,494	873,807	NA	1,429
20 Jan 23	2,053	872,378	NA	2,214
13 Jan 23	3,261	870,164	NA	3,522
06 Jan 23	4,954	866,642	NA	4,599
30 Dec 22	7,671	862,043	NA	8,676
23 Dec 22	10,474	853,367	NA	11,039
16 Dec 22	10,754	842,328	NA	12,250
09 Dec 22	9,986	830,078	NA	9,986
02 Dec 22	9,684	820,092	NA	10,231
25 Nov 22	9,000	809,861	NA	9,514
18 Nov 22	8,346	800,347	NA	8,634
11 Nov 22	6,867	791,713	NA	7,114
04 Nov 22	3,797	784,599	NA	4,493
28 Oct 22	2,851	780,106	NA	2,510
21 Oct 22	2,559	777,596	NA	5,513
14 Oct 22	2,512	772,083	NA	402
07 Oct 22	2,720	771,681	NA	2,720
30 Sep 22	3,104	768,961	NA	3,104
23 Sep 22	3,037	765,857	NA	3,214
16 Sep 22	3,631	762,643	NA	3,803
09 Sep 22	569	758,840	NA	624
08 Sep 22	654	758,216	NA	676
07 Sep 22	646	757,540	NA	657
06 Sep 22	615	756,883	NA	694
05 Sep 22	406	756,189	NA	441
04 Sep 22	382	755,748	NA	385
03 Sep 22	532	755,363	NA	516
02 Sep 22	558	754,847	NA	598
01 Sep 22	616	754,249	NA	664
31 Aug 22	639	753,585	NA	681
30 Aug 22	685	752,904	NA	768
29 Aug 22	565	752,136	NA	606
28 Aug 22	439	751,530	NA	446
27 Aug 22	566	751,084	NA	626
26 Aug 22	770	750,458	NA	793
25 Aug 22	749	749,665	NA	810
24 Aug 22	936	748,855	NA	1,013
23 Aug 22	850	747,842	NA	932
22 Aug 22	786	746,910	NA	830
21 Aug 22	664	746,080	NA	694
20 Aug 22	851	745,386	NA	897
19 Aug 22	1,062	744,489	NA	1,096
18 Aug 22	1,170	743,393	NA	1,229
17 Aug 22	1,458	742,164	NA	1,485
16 Aug 22	1,336	740,679	NA	1,445
15 Aug 22	1,194	739,234	NA	1,239
14 Aug 22	1,000	737,995	NA	1,036
13 Aug 22	1,400	736,959	NA	1,446
12 Aug 22	1,482	735,513	NA	1,550
11 Aug 22	1,919	733,963	NA	1,955
10 Aug 22	1,881	732,008	NA	2,063
09 Aug 22	1,853	729,945	NA	1,955
08 Aug 22	1,625	727,990	NA	1,714
07 Aug 22	1,595	726,276	NA	1,629
06 Aug 22	1,959	724,647	NA	1,916
05 Aug 22	2,421	722,731	NA	2,463
04 Aug 22	2,933	720,268	NA	3,106
03 Aug 22	2,860	717,162	NA	2,863
02 Aug 22	2,848	714,299	NA	3,110
01 Aug 22	2,389	711,189	NA	2,500
31 Jul 22	2,364	708,689	NA	2,336
30 Jul 22	2,767	706,353	NA	2,958
29 Jul 22	3,148	703,395	NA	3,274
28 Jul 22	3,957	700,121	NA	4,093
27 Jul 22	4,197	696,028	NA	4,357
26 Jul 22	3,773	691,671	NA	4,156
25 Jul 22	3,363	687,515	NA	3,363
24 Jul 22	3,340	684,152	NA	3,450
23 Jul 22	3,864	680,702	NA	3,925
22 Jul 22	4,374	676,777	NA	4,633
21 Jul 22	5,054	672,144	NA	5,286
20 Jul 22	4,774	666,858	NA	4,891
19 Jul 22	4,172	661,967	NA	4,439
18 Jul 22	4,053	657,528	NA	4,192
17 Jul 22	3,358	653,336	NA	3,447
16 Jul 22	3,863	649,889	NA	4,136
15 Jul 22	4,453	645,753	NA	4,441
14 Jul 22	4,761	641,312	NA	4,739
13 Jul 22	4,408	636,573	NA	4,638
12 Jul 22	3,668	631,935	NA	3,671
11 Jul 22	3,300	628,264	NA	3,465
10 Jul 22	3,039	624,799	NA	2,994
09 Jul 22	3,246	621,805	NA	3,376
08 Jul 22	3,809	618,429	NA	3,754
07 Jul 22	3,762	614,675	NA	3,930
06 Jul 22	4,072	610,745	NA	4,107
05 Jul 22	3,141	606,638	NA	3,381
04 Jul 22	2,559	603,257	NA	2,664
03 Jul 22	2,413	600,593	NA	2,425
02 Jul 22	2,642	598,168	NA	2,770
01 Jul 22	2,781	595,398	NA	2,840
30 Jun 22	3,129	592,558	NA	3,234
29 Jun 22	2,847	589,324	NA	2,935
28 Jun 22	2,626	586,389	NA	2,724
27 Jun 22	2,137	583,665	NA	2,223
