DATE	NEW	CASES	VAR	NET
18 Aug 23	517	2,979,951	NA	504
11 Aug 23	442	2,979,447	NA	608
04 Aug 23	493	2,978,839	NA	296
28 Jul 23	1,102	2,978,543	NA	1,107
21 Jul 23	469	2,977,436	NA	433
14 Jul 23	543	2,977,003	NA	524
07 Jul 23	823	2,976,479	NA	774
30 Jun 23	2,560	2,975,705	NA	2,542
23 Jun 23	3,425	2,973,163	NA	3,383
16 Jun 23	3,956	2,969,780	NA	3,892
09 Jun 23	6,135	2,965,888	NA	5,801
02 Jun 23	8,669	2,960,087	NA	8,264
26 May 23	10,642	2,951,823	NA	10,596
19 May 23	9,316	2,941,227	NA	9,259
12 May 23	7,594	2,931,968	NA	7,525
05 May 23	6,452	2,924,443	NA	6,441
28 Apr 23	6,255	2,918,002	NA	6,254
21 Apr 23	6,052	2,911,748	NA	6,043
14 Apr 23	5,811	2,905,705	NA	5,778
07 Apr 23	5,772	2,899,927	NA	5,753
31 Mar 23	5,225	2,894,174	NA	5,222
24 Mar 23	4,467	2,888,952	NA	4,448
17 Mar 23	3,960	2,884,504	NA	3,945
10 Mar 23	3,319	2,880,559	NA	3,299
03 Mar 23	3,016	2,877,260	NA	2,998
24 Feb 23	3,052	2,874,262	NA	3,037
17 Feb 23	3,344	2,871,225	NA	3,319
10 Feb 23	2,941	2,867,906	NA	2,924
03 Feb 23	3,056	2,864,982	NA	3,050
27 Jan 23	3,446	2,861,932	NA	3,410
20 Jan 23	4,912	2,858,522	NA	4,646
13 Jan 23	7,908	2,853,876	NA	7,803
06 Jan 23	12,349	2,846,073	NA	12,308
30 Dec 22	16,568	2,833,765	NA	16,451
23 Dec 22	24,238	2,817,314	NA	24,182
16 Dec 22	24,652	2,793,132	NA	24,561
09 Dec 22	27,790	2,768,571	NA	27,705
02 Dec 22	26,971	2,740,866	NA	26,904
25 Nov 22	22,281	2,713,962	NA	22,229
18 Nov 22	20,398	2,691,733	NA	17,613
11 Nov 22	16,636	2,674,120	NA	17,278
04 Nov 22	10,226	2,656,842	NA	10,897
28 Oct 22	8,537	2,645,945	NA	8,811
21 Oct 22	6,860	2,637,134	NA	6,774
14 Oct 22	8,061	2,630,360	NA	9,143
07 Oct 22	9,230	2,621,217	NA	8,808
30 Sep 22	9,458	2,612,409	NA	8,370
23 Sep 22	10,360	2,604,039	NA	9,228
16 Sep 22	13,252	2,594,811	NA	11,603
09 Sep 22	2,106	2,583,208	NA	2,078
08 Sep 22	2,102	2,581,130	NA	2,070
07 Sep 22	2,237	2,579,060	NA	2,208
06 Sep 22	2,375	2,576,852	NA	2,363
05 Sep 22	1,709	2,574,489	NA	1,693
04 Sep 22	1,519	2,572,796	NA	1,507
03 Sep 22	2,013	2,571,289	NA	1,945
02 Sep 22	2,393	2,569,344	NA	2,393
01 Sep 22	2,645	2,566,951	NA	2,611
31 Aug 22	2,857	2,564,340	NA	2,750
30 Aug 22	2,950	2,561,590	NA	2,936
29 Aug 22	2,147	2,558,654	NA	2,135
28 Aug 22	2,099	2,556,519	NA	2,084
27 Aug 22	2,532	2,554,435	NA	2,499
26 Aug 22	2,935	2,551,936	NA	2,786
25 Aug 22	3,261	2,549,150	NA	2,682
24 Aug 22	3,359	2,546,468	NA	3,266
23 Aug 22	3,638	2,543,202	NA	3,638
22 Aug 22	2,600	2,539,564	NA	2,511
21 Aug 22	2,437	2,537,053	NA	2,343
20 Aug 22	3,354	2,534,710	NA	3,205
19 Aug 22	3,857	2,531,505	NA	3,738
18 Aug 22	4,416	2,527,767	NA	4,387
17 Aug 22	4,732	2,523,380	NA	4,679
16 Aug 22	4,858	2,518,701	NA	4,761
15 Aug 22	3,648	2,513,940	NA	3,615
14 Aug 22	3,450	2,510,325	NA	3,433
13 Aug 22	4,300	2,506,892	NA	4,280
12 Aug 22	5,180	2,502,612	NA	5,149
11 Aug 22	5,550	2,497,463	NA	5,440
10 Aug 22	5,898	2,492,023	NA	5,898
09 Aug 22	6,380	2,486,125	NA	6,329
08 Aug 22	4,911	2,479,796	NA	4,906
07 Aug 22	5,114	2,474,890	NA	5,065
06 Aug 22	6,261	2,469,825	NA	6,261
05 Aug 22	7,502	2,463,564	NA	7,463
04 Aug 22	8,785	2,456,101	NA	8,720
03 Aug 22	9,122	2,447,381	NA	9,010
02 Aug 22	10,079	2,438,371	NA	9,832
01 Aug 22	7,678	2,428,539	NA	7,619
31 Jul 22	7,115	2,420,920	NA	7,047
30 Jul 22	8,937	2,413,873	NA	8,862
29 Jul 22	10,898	2,405,011	NA	10,675
28 Jul 22	12,154	2,394,336	NA	12,104
27 Jul 22	12,653	2,382,232	NA	12,611
26 Jul 22	12,339	2,369,621	NA	12,285
25 Jul 22	10,261	2,357,336	NA	10,250
24 Jul 22	9,501	2,347,086	NA	9,486
23 Jul 22	10,812	2,337,600	NA	10,787
22 Jul 22	12,278	2,326,813	NA	12,252
21 Jul 22	14,312	2,314,561	NA	14,293
20 Jul 22	12,984	2,300,268	NA	12,961
19 Jul 22	12,201	2,287,307	NA	12,183
18 Jul 22	10,251	2,275,124	NA	10,244
17 Jul 22	9,630	2,264,880	NA	9,612
16 Jul 22	9,982	2,255,268	NA	9,967
15 Jul 22	10,584	2,245,301	NA	10,559
14 Jul 22	11,283	2,234,742	NA	11,220
13 Jul 22	11,176	2,223,522	NA	11,151
12 Jul 22	10,627	2,212,371	NA	10,605
11 Jul 22	8,689	2,201,766	NA	8,675
10 Jul 22	7,934	2,193,091	NA	7,928
09 Jul 22	8,776	2,185,163	NA	8,784
08 Jul 22	9,676	2,176,379	NA	9,653
07 Jul 22	10,265	2,166,726	NA	10,244
06 Jul 22	10,056	2,156,482	NA	10,013
05 Jul 22	8,740	2,146,469	NA	8,686
04 Jul 22	7,317	2,137,783	NA	7,255
03 Jul 22	8,368	2,130,528	NA	8,325
02 Jul 22	6,424	2,122,203	NA	6,357
01 Jul 22	8,057	2,115,846	NA	5,537
30 Jun 22	9,926	2,110,309	NA	8,586
29 Jun 22	10,777	2,101,723	NA	10,583
28 Jun 22	7,758	2,091,140	NA	7,716
27 Jun 22	6,305	2,083,424	NA	6,271
26 Jun 22	5,824	2,077,153	NA	5,788
25 Jun 22	6,634	2,071,365	NA	6,551
24 Jun 22	7,723	2,064,814	NA	7,686
23 Jun 22	7,461	2,057,128	NA	7,394
22 Jun 22	7,769	2,049,734	NA	7,701
21 Jun 22	7,507	2,042,033	NA	7,431
20 Jun 22	5,661	2,034,602	NA	5,529
19 Jun 22	5,472	2,029,073	NA	5,413
18 Jun 22	6,601	2,023,660	NA	6,557
17 Jun 22	7,608	2,017,103	NA	7,546
16 Jun 22	7,889	2,009,557	NA	7,482
15 Jun 22	8,687	2,002,075	NA	8,528
14 Jun 22	6,071	1,993,547	NA	5,868
13 Jun 22	5,079	1,987,679	NA	4,542
12 Jun 22	4,766	1,983,137	NA	3,998
11 Jun 22	6,224	1,979,139	NA	3,996
10 Jun 22	8,025	1,975,143	NA	7,810
09 Jun 22	8,903	1,967,333	NA	8,439
08 Jun 22	9,519	1,958,894	NA	8,716
07 Jun 22	9,181	1,950,178	NA	8,393
06 Jun 22	7,557	1,941,785	NA	2,939
05 Jun 22	7,077	1,938,846	NA	6,236
04 Jun 22	8,445	1,932,610	NA	7,669
03 Jun 22	9,583	1,924,941	NA	9,096
02 Jun 22	10,204	1,915,845	NA	9,978
01 Jun 22	9,934	1,905,867	NA	9,374
31 May 22	9,595	1,896,493	NA	9,044
30 May 22	8,288	1,887,449	NA	7,804
29 May 22	7,372	1,879,645	NA	6,721
28 May 22	8,737	1,872,924	NA	8,176
27 May 22	11,369	1,864,748	NA	10,731
26 May 22	12,421	1,854,017	NA	12,280
25 May 22	13,023	1,841,737	NA	12,889
24 May 22	11,656	1,828,848	NA	11,509
23 May 22	8,971	1,817,339	NA	8,921
22 May 22	9,307	1,808,418	NA	9,247
21 May 22	11,925	1,799,171	NA	11,887
20 May 22	12,556	1,787,284	NA	12,413
19 May 22	13,201	1,774,871	NA	13,093
18 May 22	14,220	1,761,778	NA	14,024
17 May 22	13,694	1,747,754	NA	13,654
16 May 22	11,464	1,734,100	NA	11,269
15 May 22	10,197	1,722,831	NA	10,094
14 May 22	12,160	1,712,737	NA	12,041
13 May 22	13,181	1,700,696	NA	13,082
12 May 22	14,333	1,687,614	NA	14,200
11 May 22	13,973	1,673,414	NA	13,854
10 May 22	12,722	1,659,560	NA	12,587
09 May 22	10,031	1,646,973	NA	9,976
08 May 22	8,744	1,636,997	NA	8,606
07 May 22	9,365	1,628,391	NA	9,225
06 May 22	10,305	1,619,166	NA	10,175
05 May 22	11,596	1,608,991	NA	11,527
04 May 22	10,779	1,597,464	NA	10,949
03 May 22	10,184	1,586,515	NA	9,823
02 May 22	8,109	1,576,692	NA	7,856
01 May 22	7,654	1,568,836	NA	7,548
30 Apr 22	9,064	1,561,288	NA	8,937
29 Apr 22	11,083	1,552,351	NA	10,787
28 Apr 22	10,427	1,541,564	NA	9,932
27 Apr 22	10,734	1,531,632	NA	9,681
26 Apr 22	9,265	1,521,951	NA	8,951
25 Apr 22	7,643	1,513,000	NA	7,464
24 Apr 22	7,104	1,505,536	NA	6,981
23 Apr 22	8,120	1,498,555	NA	7,876
22 Apr 22	9,439	1,490,679	NA	8,952
21 Apr 22	10,674	1,481,727	NA	10,397
20 Apr 22	10,628	1,471,330	NA	10,391
19 Apr 22	8,976	1,460,939	NA	8,435
18 Apr 22	7,918	1,452,504	NA	6,062
17 Apr 22	8,153	1,446,442	NA	7,982
16 Apr 22	9,559	1,438,460	NA	9,284
15 Apr 22	9,664	1,429,176	NA	9,093
14 Apr 22	10,462	1,420,083	NA	9,897
13 Apr 22	10,907	1,410,186	NA	10,265
12 Apr 22	10,293	1,399,921	NA	8,834
11 Apr 22	9,597	1,391,087	NA	8,899
10 Apr 22	9,510	1,382,188	NA	9,436
09 Apr 22	9,610	1,372,752	NA	7,912
08 Apr 22	11,192	1,364,840	NA	10,646
07 Apr 22	12,314	1,354,194	NA	12,181
06 Apr 22	12,150	1,342,013	NA	10,515
05 Apr 22	12,007	1,331,498	NA	11,324
04 Apr 22	10,011	1,320,174	NA	9,507
03 Apr 22	9,008	1,310,667	NA	8,852
02 Apr 22	9,149	1,301,815	NA	8,917
01 Apr 22	10,424	1,292,898	NA	10,275
31 Mar 22	11,292	1,282,623	NA	11,201
30 Mar 22	11,749	1,271,422	NA	11,677
29 Mar 22	10,916	1,259,745	NA	10,700
28 Mar 22	8,739	1,249,045	NA	8,646
27 Mar 22	7,466	1,240,399	NA	7,347
26 Mar 22	8,349	1,233,052	NA	8,227
25 Mar 22	9,244	1,224,825	NA	9,148
24 Mar 22	10,259	1,215,677	NA	10,157
23 Mar 22	10,471	1,205,520	NA	10,341
22 Mar 22	9,594	1,195,179	NA	9,534
21 Mar 22	7,531	1,185,645	NA	7,408
20 Mar 22	6,694	1,178,237	NA	6,501
19 Mar 22	7,847	1,171,736	NA	7,673
18 Mar 22	9,036	1,164,063	NA	8,761
17 Mar 22	9,752	1,155,302	NA	9,708
16 Mar 22	9,426	1,145,594	NA	9,381
15 Mar 22	7,460	1,136,213	NA	7,381
14 Mar 22	5,499	1,128,832	NA	5,419
13 Mar 22	5,192	1,123,413	NA	5,108
12 Mar 22	6,075	1,118,305	NA	5,942
11 Mar 22	6,811	1,112,363	NA	6,723
10 Mar 22	7,779	1,105,640	NA	7,643
09 Mar 22	7,081	1,097,997	NA	6,985
08 Mar 22	7,043	1,091,012	NA	6,994
07 Mar 22	5,645	1,084,018	NA	5,556
06 Mar 22	5,046	1,078,462	NA	4,944
05 Mar 22	5,721	1,073,518	NA	5,661
04 Mar 22	6,545	1,067,857	NA	6,449
03 Mar 22	7,093	1,061,408	NA	6,991
02 Mar 22	7,126	1,054,417	NA	7,005
01 Mar 22	6,879	1,047,412	NA	6,657
28 Feb 22	5,852	1,040,755	NA	5,810
27 Feb 22	5,052	1,034,945	NA	4,924
26 Feb 22	5,874	1,030,021	NA	5,624
25 Feb 22	6,580	1,024,397	NA	6,425
24 Feb 22	6,715	1,017,972	NA	6,614
23 Feb 22	6,926	1,011,358	NA	6,809
22 Feb 22	6,786	1,004,549	NA	6,658
21 Feb 22	5,611	997,891	NA	5,467
20 Feb 22	4,867	992,424	NA	4,699
19 Feb 22	6,280	987,725	NA	6,149
18 Feb 22	6,935	981,576	NA	6,787
17 Feb 22	8,501	974,789	NA	8,311
16 Feb 22	8,149	966,478	NA	7,999
15 Feb 22	8,162	958,479	NA	7,958
14 Feb 22	7,104	950,521	NA	6,858
13 Feb 22	7,223	943,663	NA	6,996
12 Feb 22	7,224	936,667	NA	6,997
11 Feb 22	8,521	929,670	NA	8,273
10 Feb 22	9,391	921,397	NA	9,225
09 Feb 22	9,908	912,172	NA	9,691
08 Feb 22	9,785	902,481	NA	9,547
07 Feb 22	8,275	892,934	NA	8,095
06 Feb 22	7,169	884,839	NA	6,919
05 Feb 22	7,810	877,920	NA	9,326
04 Feb 22	11,240	868,594	NA	11,072
03 Feb 22	12,157	857,522	NA	12,398
02 Feb 22	14,553	845,124	NA	15,246
01 Feb 22	11,311	829,878	NA	11,175
31 Jan 22	10,053	818,703	NA	9,922
30 Jan 22	10,589	808,781	NA	10,553
29 Jan 22	12,250	798,228	NA	12,409
28 Jan 22	12,755	785,819	NA	12,734
27 Jan 22	13,755	773,085	NA	13,679
26 Jan 22	13,507	759,406	NA	13,502
25 Jan 22	14,836	745,904	NA	14,631
24 Jan 22	11,695	731,273	NA	11,546
23 Jan 22	13,091	719,727	NA	13,188
22 Jan 22	16,016	706,539	NA	16,133
21 Jan 22	18,167	690,406	NA	18,425
20 Jan 22	21,966	671,981	NA	20,848
19 Jan 22	20,769	651,133	NA	21,385
18 Jan 22	20,180	629,748	NA	10,537
17 Jan 22	22,429	619,211	NA	22,513
16 Jan 22	28,128	596,698	NA	28,686
15 Jan 22	25,526	568,012	NA	25,299
14 Jan 22	34,836	542,713	NA	34,781
13 Jan 22	37,169	507,932	NA	37,338
12 Jan 22	40,127	470,594	NA	38,504
11 Jan 22	37,994	432,090	NA	36,509
10 Jan 22	34,808	395,581	NA	33,231
09 Jan 22	44,155	362,350	NA	41,232
08 Jan 22	51,356	321,118	NA	46,995
07 Jan 22	21,728	274,123	NA	21,461
06 Jan 22	21,997	252,662	NA	21,743
05 Jan 22	17,636	230,919	NA	17,429
04 Jan 22	14,020	213,490	NA	13,962
03 Jan 22	8,577	199,528	NA	8,529
02 Jan 22	7,172	190,999	NA	7,098
01 Jan 22	7,442	183,901	NA	7,367
31 Dec 21	5,919	176,534	NA	5,839
30 Dec 21	5,137	170,695	NA	5,100
29 Dec 21	3,767	165,595	NA	3,750
28 Dec 21	2,738	161,845	NA	2,698
27 Dec 21	1,999	159,147	NA	1,980
26 Dec 21	1,608	157,167	NA	1,428
25 Dec 21	2,108	155,739	NA	2,108
24 Dec 21	2,095	153,631	NA	2,054
23 Dec 21	2,005	151,577	NA	1,982
22 Dec 21	1,503	149,595	NA	1,506
21 Dec 21	1,245	148,089	NA	1,230
20 Dec 21	1,302	146,859	NA	1,289
19 Dec 21	1,240	145,570	NA	1,228
18 Dec 21	1,504	144,342	NA	1,435
17 Dec 21	1,510	142,907	NA	1,492
16 Dec 21	1,622	141,415	NA	1,611
15 Dec 21	1,405	139,804	NA	1,395
14 Dec 21	1,189	138,409	NA	1,182
13 Dec 21	1,290	137,227	NA	1,268
12 Dec 21	1,069	135,959	NA	1,048
11 Dec 21	1,193	134,911	NA	1,177
10 Dec 21	1,206	133,734	NA	1,192
09 Dec 21	1,232	132,542	NA	1,217
08 Dec 21	1,312	131,325	NA	1,296
