DATE	NEW	CASES	VAR	NET
18 Aug 23	711	1,352,116	NA	704
11 Aug 23	677	1,351,412	NA	683
04 Aug 23	517	1,350,729	NA	511
28 Jul 23	697	1,350,218	NA	690
21 Jul 23	751	1,349,528	NA	742
14 Jul 23	934	1,348,786	NA	936
07 Jul 23	1,165	1,347,850	NA	1,166
30 Jun 23	1,344	1,346,684	NA	1,373
23 Jun 23	1,644	1,345,311	NA	1,625
16 Jun 23	2,344	1,343,686	NA	2,317
09 Jun 23	3,014	1,341,369	NA	2,996
02 Jun 23	3,767	1,338,373	NA	3,730
26 May 23	4,486	1,334,643	NA	4,481
19 May 23	4,092	1,330,162	NA	4,091
12 May 23	3,963	1,326,071	NA	3,960
05 May 23	3,804	1,322,111	NA	3,788
28 Apr 23	3,573	1,318,323	NA	3,594
21 Apr 23	3,133	1,314,729	NA	3,100
14 Apr 23	3,196	1,311,629	NA	3,196
07 Apr 23	3,446	1,308,433	NA	3,431
31 Mar 23	3,246	1,305,002	NA	3,237
24 Mar 23	3,168	1,301,765	NA	3,159
17 Mar 23	2,625	1,298,606	NA	2,609
10 Mar 23	2,546	1,295,997	NA	2,536
03 Mar 23	2,390	1,293,461	NA	2,384
24 Feb 23	2,278	1,291,077	NA	2,269
17 Feb 23	2,086	1,288,808	NA	2,063
10 Feb 23	2,093	1,286,745	NA	2,083
03 Feb 23	2,146	1,284,662	NA	2,139
27 Jan 23	2,727	1,282,523	NA	2,717
20 Jan 23	3,690	1,279,806	NA	3,677
13 Jan 23	5,618	1,276,129	NA	5,585
06 Jan 23	6,675	1,270,544	NA	6,558
30 Dec 22	8,391	1,263,986	NA	8,391
23 Dec 22	10,828	1,255,595	NA	10,757
16 Dec 22	11,624	1,244,838	NA	11,567
09 Dec 22	12,383	1,233,271	NA	12,353
02 Dec 22	11,762	1,220,918	NA	11,704
25 Nov 22	10,489	1,209,214	NA	10,489
18 Nov 22	9,065	1,198,725	NA	9,057
11 Nov 22	8,029	1,189,668	NA	8,028
04 Nov 22	6,874	1,181,640	NA	6,855
28 Oct 22	5,823	1,174,785	NA	5,810
21 Oct 22	4,931	1,168,975	NA	4,877
14 Oct 22	4,859	1,164,098	NA	4,837
07 Oct 22	4,573	1,159,261	NA	4,529
30 Sep 22	4,662	1,154,732	NA	4,599
23 Sep 22	5,055	1,150,133	NA	5,014
16 Sep 22	6,141	1,145,119	NA	6,065
09 Sep 22	995	1,139,054	NA	984
08 Sep 22	1,088	1,138,070	NA	1,070
07 Sep 22	1,335	1,137,000	NA	1,292
06 Sep 22	1,161	1,135,708	NA	1,152
05 Sep 22	758	1,134,556	NA	735
04 Sep 22	816	1,133,821	NA	814
03 Sep 22	1,076	1,133,007	NA	1,055
02 Sep 22	1,200	1,131,952	NA	1,195
01 Sep 22	1,211	1,130,757	NA	1,195
31 Aug 22	1,380	1,129,562	NA	1,363
30 Aug 22	1,277	1,128,199	NA	1,252
29 Aug 22	982	1,126,947	NA	958
28 Aug 22	1,055	1,125,989	NA	1,046
27 Aug 22	1,165	1,124,943	NA	1,117
26 Aug 22	1,429	1,123,826	NA	1,414
25 Aug 22	1,366	1,122,412	NA	1,342
24 Aug 22	1,685	1,121,070	NA	1,675
23 Aug 22	1,772	1,119,395	NA	1,724
22 Aug 22	1,119	1,117,671	NA	1,104
21 Aug 22	1,147	1,116,567	NA	1,141
20 Aug 22	1,624	1,115,426	NA	1,603
19 Aug 22	1,760	1,113,823	NA	1,745
18 Aug 22	2,210	1,112,078	NA	1,961
17 Aug 22	2,405	1,110,117	NA	2,379
16 Aug 22	2,145	1,107,738	NA	2,102
15 Aug 22	1,605	1,105,636	NA	1,576
14 Aug 22	1,559	1,104,060	NA	1,523
13 Aug 22	2,094	1,102,537	NA	2,044
12 Aug 22	2,327	1,100,493	NA	2,303
11 Aug 22	2,739	1,098,190	NA	2,723
10 Aug 22	2,889	1,095,467	NA	2,860
09 Aug 22	2,965	1,092,607	NA	2,903
08 Aug 22	2,045	1,089,704	NA	2,023
07 Aug 22	2,361	1,087,681	NA	2,350
06 Aug 22	2,911	1,085,331	NA	2,846
05 Aug 22	3,239	1,082,485	NA	3,197
04 Aug 22	3,852	1,079,288	NA	3,852
03 Aug 22	4,062	1,075,436	NA	3,972
02 Aug 22	3,821	1,071,464	NA	3,733
01 Aug 22	2,816	1,067,731	NA	2,785
31 Jul 22	3,252	1,064,946	NA	3,155
30 Jul 22	4,034	1,061,791	NA	4,233
29 Jul 22	4,423	1,057,558	NA	4,368
28 Jul 22	4,961	1,053,190	NA	4,837
27 Jul 22	5,422	1,048,353	NA	5,356
26 Jul 22	4,409	1,042,997	NA	4,725
25 Jul 22	3,856	1,038,272	NA	3,530
24 Jul 22	4,356	1,034,742	NA	4,289
23 Jul 22	5,051	1,030,453	NA	4,908
22 Jul 22	6,056	1,025,545	NA	5,847
21 Jul 22	6,960	1,019,698	NA	6,178
20 Jul 22	7,901	1,013,520	NA	3,096
19 Jul 22	6,815	1,010,424	NA	6,746
18 Jul 22	5,514	1,003,678	NA	5,463
17 Jul 22	5,933	998,215	NA	5,846
16 Jul 22	6,473	992,369	NA	5,260
15 Jul 22	6,458	987,109	NA	6,324
14 Jul 22	6,535	980,785	NA	6,451
13 Jul 22	6,880	974,334	NA	6,809
12 Jul 22	6,000	967,525	NA	5,955
11 Jul 22	4,882	961,570	NA	4,806
10 Jul 22	5,014	956,764	NA	4,925
09 Jul 22	5,538	951,839	NA	5,472
08 Jul 22	6,217	946,367	NA	6,161
07 Jul 22	6,387	940,206	NA	6,352
06 Jul 22	6,296	933,854	NA	6,255
05 Jul 22	5,234	927,599	NA	5,223
04 Jul 22	4,312	922,376	NA	4,305
03 Jul 22	4,390	918,071	NA	4,367
02 Jul 22	4,878	913,704	NA	4,853
01 Jul 22	5,072	908,851	NA	5,038
30 Jun 22	5,548	903,813	NA	5,411
29 Jun 22	5,921	898,402	NA	5,875
28 Jun 22	4,810	892,527	NA	4,784
27 Jun 22	3,434	887,743	NA	3,420
26 Jun 22	3,544	884,323	NA	3,515
25 Jun 22	4,394	880,808	NA	4,303
24 Jun 22	4,749	876,505	NA	4,728
23 Jun 22	5,351	871,777	NA	5,324
22 Jun 22	5,770	866,453	NA	5,730
21 Jun 22	4,885	860,723	NA	4,868
20 Jun 22	4,097	855,855	NA	4,079
19 Jun 22	3,896	851,776	NA	3,953
18 Jun 22	4,052	847,823	NA	3,989
17 Jun 22	5,311	843,834	NA	5,286
16 Jun 22	6,249	838,548	NA	6,177
15 Jun 22	6,262	832,371	NA	6,232
14 Jun 22	6,315	826,139	NA	6,275
13 Jun 22	4,802	819,864	NA	4,780
12 Jun 22	4,900	815,084	NA	4,859
11 Jun 22	6,158	810,225	NA	6,076
10 Jun 22	7,174	804,149	NA	7,108
09 Jun 22	7,871	797,041	NA	7,845
08 Jun 22	7,720	789,196	NA	7,700
07 Jun 22	5,787	781,496	NA	5,755
06 Jun 22	4,849	775,741	NA	4,776
05 Jun 22	5,368	770,965	NA	5,320
04 Jun 22	6,242	765,645	NA	6,210
03 Jun 22	7,092	759,435	NA	7,043
02 Jun 22	8,292	752,392	NA	8,213
01 Jun 22	8,452	744,179	NA	8,345
31 May 22	8,201	735,834	NA	8,121
30 May 22	6,649	727,713	NA	6,603
29 May 22	7,100	721,110	NA	6,888
28 May 22	8,665	714,222	NA	8,499
27 May 22	9,948	705,723	NA	9,760
26 May 22	11,832	695,963	NA	11,637
25 May 22	12,419	684,326	NA	12,318
24 May 22	12,114	672,008	NA	11,944
23 May 22	10,013	660,064	NA	9,866
22 May 22	11,557	650,198	NA	11,489
21 May 22	14,245	638,709	NA	13,935
20 May 22	15,205	624,774	NA	15,176
19 May 22	17,105	609,598	NA	17,057
18 May 22	16,253	592,541	NA	16,226
17 May 22	15,674	576,315	NA	15,653
16 May 22	12,266	560,662	NA	12,195
15 May 22	12,399	548,467	NA	12,360
14 May 22	13,162	536,107	NA	13,055
13 May 22	15,565	523,052	NA	15,508
12 May 22	16,670	507,544	NA	16,645
11 May 22	17,033	490,899	NA	16,990
10 May 22	12,390	473,909	NA	12,356
09 May 22	10,394	461,553	NA	10,361
08 May 22	8,747	451,192	NA	8,711
07 May 22	9,243	442,481	NA	9,186
06 May 22	9,328	433,295	NA	7,591
05 May 22	10,182	425,704	NA	10,141
04 May 22	9,782	415,563	NA	9,715
03 May 22	7,929	405,848	NA	7,756
02 May 22	5,847	398,092	NA	5,669
01 May 22	5,551	392,423	NA	5,312
30 Apr 22	6,829	387,111	NA	6,702
29 Apr 22	8,117	380,409	NA	7,995
28 Apr 22	8,889	372,414	NA	8,813
27 Apr 22	8,392	363,601	NA	8,324
26 Apr 22	6,711	355,277	NA	6,573
25 Apr 22	5,639	348,704	NA	5,599
24 Apr 22	6,085	343,105	NA	5,970
23 Apr 22	7,758	337,135	NA	7,678
22 Apr 22	8,777	329,457	NA	8,680
21 Apr 22	9,314	320,777	NA	9,264
20 Apr 22	8,080	311,513	NA	7,892
19 Apr 22	6,107	303,621	NA	5,631
18 Apr 22	5,605	297,990	NA	5,278
17 Apr 22	5,112	292,712	NA	5,060
16 Apr 22	6,314	287,652	NA	6,252
15 Apr 22	7,990	281,400	NA	7,951
14 Apr 22	8,144	273,449	NA	8,073
13 Apr 22	7,426	265,376	NA	7,379
12 Apr 22	6,349	257,997	NA	6,296
11 Apr 22	4,993	251,701	NA	4,925
10 Apr 22	5,351	246,776	NA	5,317
09 Apr 22	6,566	241,459	NA	6,375
08 Apr 22	6,892	235,084	NA	7,963
07 Apr 22	7,998	227,121	NA	7,956
06 Apr 22	8,499	219,165	NA	8,436
05 Apr 22	8,145	210,729	NA	8,060
04 Apr 22	6,082	202,669	NA	5,888
03 Apr 22	6,439	196,781	NA	6,279
02 Apr 22	7,822	190,502	NA	7,702
01 Apr 22	8,731	182,800	NA	8,594
31 Mar 22	9,727	174,206	NA	9,592
30 Mar 22	9,754	164,614	NA	9,713
29 Mar 22	8,910	154,901	NA	8,831
28 Mar 22	7,288	146,070	NA	6,947
27 Mar 22	7,197	139,123	NA	7,171
26 Mar 22	7,535	131,952	NA	7,427
25 Mar 22	8,133	124,525	NA	8,102
24 Mar 22	8,616	116,423	NA	8,553
23 Mar 22	8,429	107,870	NA	8,403
22 Mar 22	7,075	99,467	NA	7,036
21 Mar 22	5,566	92,431	NA	5,440
20 Mar 22	5,626	86,991	NA	5,596
19 Mar 22	5,838	81,395	NA	5,795
18 Mar 22	6,176	75,600	NA	6,135
17 Mar 22	7,151	69,465	NA	7,111
16 Mar 22	6,062	62,354	NA	6,045
15 Mar 22	5,377	56,309	NA	5,228
14 Mar 22	4,037	51,081	NA	4,095
13 Mar 22	3,602	46,986	NA	3,512
12 Mar 22	4,300	43,474	NA	4,248
11 Mar 22	5,005	39,226	NA	4,976
10 Mar 22	4,535	34,250	NA	4,411
09 Mar 22	3,594	29,839	NA	3,510
08 Mar 22	2,847	26,329	NA	2,810
07 Mar 22	2,365	23,519	NA	2,343
06 Mar 22	2,270	21,176	NA	2,245
05 Mar 22	2,289	18,931	NA	2,247
04 Mar 22	2,137	16,684	NA	2,095
03 Mar 22	2,423	14,589	NA	2,391
02 Mar 22	1,770	12,198	NA	1,739
01 Mar 22	1,179	10,459	NA	1,095
28 Feb 22	1,140	9,364	NA	1,114
27 Feb 22	1,027	8,250	NA	1,005
26 Feb 22	1,105	7,245	NA	1,050
25 Feb 22	1,043	6,195	NA	1,031
24 Feb 22	617	5,164	NA	712
23 Feb 22	645	4,452	NA	628
22 Feb 22	263	3,824	NA	252
21 Feb 22	224	3,572	NA	214
20 Feb 22	229	3,358	NA	222
19 Feb 22	262	3,136	NA	244
18 Feb 22	202	2,892	NA	199
17 Feb 22	189	2,693	NA	184
16 Feb 22	128	2,509	NA	126
15 Feb 22	62	2,383	NA	58
14 Feb 22	75	2,325	NA	72
13 Feb 22	68	2,253	NA	64
12 Feb 22	49	2,189	NA	49
11 Feb 22	99	2,140	NA	97
10 Feb 22	139	2,043	NA	138
09 Feb 22	94	1,905	NA	92
08 Feb 22	65	1,813	NA	65
07 Feb 22	36	1,748	NA	36
06 Feb 22	46	1,712	NA	46
05 Feb 22	26	1,666	NA	26
04 Feb 22	32	1,640	NA	32
03 Feb 22	29	1,608	NA	28
02 Feb 22	29	1,580	NA	29
01 Feb 22	24	1,551	NA	24
31 Jan 22	22	1,527	NA	23
30 Jan 22	20	1,504	NA	19
29 Jan 22	23	1,485	NA	23
28 Jan 22	10	1,462	NA	8
27 Jan 22	12	1,454	NA	12
26 Jan 22	24	1,442	NA	24
25 Jan 22	18	1,418	NA	18
24 Jan 22	15	1,400	NA	14
23 Jan 22	26	1,386	NA	27
22 Jan 22	11	1,359	NA	11
21 Jan 22	10	1,348	NA	10
20 Jan 22	10	1,338	NA	10
19 Jan 22	5	1,328	NA	5
18 Jan 22	14	1,323	NA	14
17 Jan 22	12	1,309	NA	12
16 Jan 22	3	1,297	NA	4
15 Jan 22	9	1,293	NA	8
14 Jan 22	9	1,285	NA	9
13 Jan 22	16	1,276	NA	16
12 Jan 22	6	1,260	NA	6
11 Jan 22	15	1,254	NA	15
10 Jan 22	8	1,239	NA	8
09 Jan 22	2	1,231	NA	2
08 Jan 22	8	1,229	NA	8
07 Jan 22	6	1,221	NA	6
06 Jan 22	9	1,215	NA	9
05 Jan 22	16	1,206	NA	16
04 Jan 22	14	1,190	NA	14
03 Jan 22	8	1,176	NA	8
02 Jan 22	7	1,168	NA	7
01 Jan 22	3	1,161	NA	3
31 Dec 21	5	1,158	NA	5
30 Dec 21	5	1,153	NA	5
29 Dec 21	2	1,148	NA	0
28 Dec 21	3	1,148	NA	3
27 Dec 21	1	1,145	NA	2
26 Dec 21	2	1,143	NA	1
25 Dec 21	4	1,142	NA	9
24 Dec 21	5	1,133	NA	1
23 Dec 21	1	1,132	NA	2
22 Dec 21	4	1,130	NA	4
21 Dec 21	1	1,126	NA	1
20 Dec 21	0	1,125	NA	0
19 Dec 21	0	1,125	NA	0
18 Dec 21	0	1,125	NA	0
17 Dec 21	0	1,125	NA	0
16 Dec 21	0	1,125	NA	0
15 Dec 21	0	1,125	NA	0
14 Dec 21	1	1,125	NA	1
13 Dec 21	1	1,124	NA	1
12 Dec 21	0	1,123	NA	0
11 Dec 21	0	1,123	NA	0
10 Dec 21	0	1,123	NA	0
09 Dec 21	1	1,123	NA	1
08 Dec 21	0	1,122	NA	0
07 Dec 21	0	1,122	NA	0
06 Dec 21	0	1,122	NA	0
05 Dec 21	0	1,122	NA	0
04 Dec 21	0	1,122	NA	0
03 Dec 21	1	1,122	NA	1
02 Dec 21	0	1,121	NA	0
01 Dec 21	0	1,121	NA	0
30 Nov 21	0	1,121	NA	0
29 Nov 21	0	1,121	NA	0
28 Nov 21	0	1,121	NA	-1
27 Nov 21	0	1,122	NA	0
26 Nov 21	0	1,122	NA	0
25 Nov 21	1	1,122	NA	1
24 Nov 21	0	1,121	NA	0
23 Nov 21	0	1,121	NA	0
22 Nov 21	1	1,121	NA	1
21 Nov 21	1	1,120	NA	1
20 Nov 21	1	1,119	NA	1
19 Nov 21	1	1,118	NA	1
18 Nov 21	1	1,117	NA	1
17 Nov 21	0	1,116	NA	0
16 Nov 21	3	1,116	NA	3
15 Nov 21	1	1,113	NA	1
14 Nov 21	0	1,112	NA	0
13 Nov 21	0	1,112	NA	0
12 Nov 21	0	1,112	NA	0
11 Nov 21	0	1,112	NA	0
10 Nov 21	0	1,112	NA	0
09 Nov 21	0	1,112	NA	0
08 Nov 21	0	1,112	NA	0
07 Nov 21	0	1,112	NA	0
06 Nov 21	0	1,112	NA	0
05 Nov 21	0	1,112	NA	0
04 Nov 21	0	1,112	NA	0
03 Nov 21	0	1,112	NA	0
02 Nov 21	0	1,112	NA	0
01 Nov 21	0	1,112	NA	0
31 Oct 21	0	1,112	NA	0
30 Oct 21	0	1,112	NA	0
29 Oct 21	0	1,112	NA	0
28 Oct 21	0	1,112	NA	0
27 Oct 21	0	1,112	NA	0
26 Oct 21	0	1,112	NA	0
25 Oct 21	0	1,112	NA	0
24 Oct 21	0	1,112	NA	0
23 Oct 21	0	1,112	NA	0
22 Oct 21	0	1,112	NA	0
21 Oct 21	0	1,112	NA	0
20 Oct 21	0	1,112	NA	0
19 Oct 21	0	1,112	NA	0
18 Oct 21	0	1,112	NA	0
17 Oct 21	0	1,112	NA	0
16 Oct 21	1	1,112	NA	1
15 Oct 21	0	1,111	NA	0
14 Oct 21	0	1,111	NA	0
13 Oct 21	0	1,111	NA	0
12 Oct 21	1	1,111	NA	1
11 Oct 21	0	1,110	NA	0
10 Oct 21	0	1,110	NA	0
09 Oct 21	0	1,110	NA	0
08 Oct 21	0	1,110	NA	0
07 Oct 21	0	1,110	NA	0
06 Oct 21	0	1,110	NA	0
05 Oct 21	1	1,110	NA	1
04 Oct 21	10	1,109	NA	10
03 Oct 21	3	1,099	NA	3
02 Oct 21	0	1,096	NA	0
01 Oct 21	0	1,096	NA	0
30 Sep 21	0	1,096	NA	0
29 Sep 21	0	1,096	NA	0
28 Sep 21	0	1,096	NA	0
27 Sep 21	1	1,096	NA	1
26 Sep 21	0	1,095	NA	0
25 Sep 21	0	1,095	NA	0
24 Sep 21	1	1,095	NA	1
23 Sep 21	0	1,094	NA	0
22 Sep 21	0	1,094	NA	0
21 Sep 21	0	1,094	NA	0
20 Sep 21	1	1,094	NA	1
19 Sep 21	1	1,093	NA	1
18 Sep 21	1	1,092	NA	1
17 Sep 21	2	1,091	NA	2
16 Sep 21	0	1,089	NA	0
15 Sep 21	0	1,089	NA	0
14 Sep 21	0	1,089	NA	0
13 Sep 21	0	1,089	NA	0
12 Sep 21	1	1,089	NA	1
11 Sep 21	0	1,088	NA	0
10 Sep 21	0	1,088	NA	0
09 Sep 21	1	1,088	NA	1
08 Sep 21	0	1,087	NA	0
07 Sep 21	0	1,087	NA	0
06 Sep 21	1	1,087	NA	1
05 Sep 21	0	1,086	NA	0
04 Sep 21	0	1,086	NA	0
03 Sep 21	0	1,086	NA	0
02 Sep 21	0	1,086	NA	0
01 Sep 21	0	1,086	NA	0
31 Aug 21	0	1,086	NA	0
30 Aug 21	0	1,086	NA	0
29 Aug 21	0	1,086	NA	0
28 Aug 21	2	1,086	NA	2
27 Aug 21	0	1,084	NA	0
26 Aug 21	0	1,084	NA	0
25 Aug 21	20	1,084	NA	20
24 Aug 21	0	1,064	NA	0
23 Aug 21	1	1,064	NA	1
22 Aug 21	0	1,063	NA	0
21 Aug 21	0	1,063	NA	0
20 Aug 21	1	1,063	NA	1
19 Aug 21	0	1,062	NA	0
18 Aug 21	1	1,062	NA	1
17 Aug 21	0	1,061	NA	0
16 Aug 21	2	1,061	NA	2
15 Aug 21	0	1,059	NA	0
14 Aug 21	0	1,059	NA	0
13 Aug 21	0	1,059	NA	0
12 Aug 21	0	1,059	NA	0
11 Aug 21	0	1,059	NA	0
10 Aug 21	0	1,059	NA	0
09 Aug 21	0	1,059	NA	0
08 Aug 21	0	1,059	NA	0
07 Aug 21	0	1,059	NA	0
06 Aug 21	0	1,059	NA	0
05 Aug 21	1	1,059	NA	1
04 Aug 21	0	1,058	NA	0
03 Aug 21	0	1,058	NA	0
02 Aug 21	1	1,058	NA	1
01 Aug 21	0	1,057	NA	0
31 Jul 21	0	1,057	NA	0
30 Jul 21	0	1,057	NA	0
29 Jul 21	6	1,057	NA	6
28 Jul 21	1	1,051	NA	1
27 Jul 21	2	1,050	NA	2
26 Jul 21	0	1,048	NA	0
25 Jul 21	0	1,048	NA	0
24 Jul 21	0	1,048	NA	0
23 Jul 21	0	1,048	NA	0
22 Jul 21	0	1,048	NA	0
21 Jul 21	2	1,048	NA	2
20 Jul 21	8	1,046	NA	8
19 Jul 21	1	1,038	NA	1
18 Jul 21	0	1,037	NA	0
17 Jul 21	1	1,037	NA	1
16 Jul 21	0	1,036	NA	0
15 Jul 21	0	1,036	NA	0
14 Jul 21	0	1,036	NA	0
13 Jul 21	0	1,036	NA	0
12 Jul 21	1	1,036	NA	1
11 Jul 21	2	1,035	NA	2
10 Jul 21	0	1,033	NA	0
09 Jul 21	0	1,033	NA	0
08 Jul 21	0	1,033	NA	0
07 Jul 21	0	1,033	NA	0
06 Jul 21	3	1,033	NA	3
05 Jul 21	0	1,030	NA	0
04 Jul 21	1	1,030	NA	1
03 Jul 21	0	1,029	NA	0
02 Jul 21	1	1,029	NA	1
01 Jul 21	1	1,028	NA	1
30 Jun 21	3	1,027	NA	3
29 Jun 21	2	1,024	NA	2
28 Jun 21	1	1,022	NA	1
27 Jun 21	0	1,021	NA	0
26 Jun 21	0	1,021	NA	0
25 Jun 21	0	1,021	NA	0
24 Jun 21	1	1,021	NA	1
23 Jun 21	0	1,020	NA	0
22 Jun 21	0	1,020	NA	0
21 Jun 21	0	1,020	NA	0
20 Jun 21	0	1,020	NA	0
19 Jun 21	0	1,020	NA	0
18 Jun 21	0	1,020	NA	0
17 Jun 21	0	1,020	NA	0
16 Jun 21	1	1,020	NA	1
15 Jun 21	1	1,019	NA	1
14 Jun 21	0	1,018	NA	0
13 Jun 21	0	1,018	NA	0
12 Jun 21	0	1,018	NA	0
11 Jun 21	0	1,018	NA	0
10 Jun 21	0	1,018	NA	0
09 Jun 21	0	1,018	NA	0
08 Jun 21	0	1,018	NA	0
07 Jun 21	0	1,018	NA	0
06 Jun 21	0	1,018	NA	0
05 Jun 21	0	1,018	NA	0
04 Jun 21	0	1,018	NA	0
03 Jun 21	0	1,018	NA	0
02 Jun 21	0	1,018	NA	-1
01 Jun 21	1	1,019	NA	1
31 May 21	1	1,018	NA	1
30 May 21	0	1,017	NA	0
29 May 21	0	1,017	NA	0
28 May 21	0	1,017	NA	0
27 May 21	0	1,017	NA	0
26 May 21	0	1,017	NA	0
25 May 21	0	1,017	NA	0
24 May 21	1	1,017	NA	1
23 May 21	0	1,016	NA	0
22 May 21	0	1,016	NA	0
21 May 21	0	1,016	NA	0
20 May 21	1	1,016	NA	1
19 May 21	0	1,015	NA	0
18 May 21	0	1,015	NA	0
17 May 21	0	1,015	NA	0
16 May 21	0	1,015	NA	0
15 May 21	0	1,015	NA	0
14 May 21	0	1,015	NA	0
13 May 21	0	1,015	NA	0
12 May 21	0	1,015	NA	0
11 May 21	2	1,015	NA	2
10 May 21	0	1,013	NA	0
09 May 21	0	1,013	NA	0
08 May 21	0	1,013	NA	0
07 May 21	0	1,013	NA	0
06 May 21	3	1,013	NA	3
05 May 21	2	1,010	NA	2
04 May 21	0	1,008	NA	0
03 May 21	3	1,008	NA	3
02 May 21	5	1,005	NA	5
01 May 21	1	1,000	NA	1
30 Apr 21	1	999	NA	1
29 Apr 21	4	998	NA	4
28 Apr 21	4	994	NA	4
27 Apr 21	4	990	NA	4
26 Apr 21	0	986	NA	0
25 Apr 21	2	986	NA	2
24 Apr 21	2	984	NA	2
23 Apr 21	0	982	NA	0
22 Apr 21	2	982	NA	2
21 Apr 21	2	980	NA	2
20 Apr 21	3	978	NA	3
19 Apr 21	2	975	NA	2
18 Apr 21	6	973	NA	6
17 Apr 21	1	967	NA	1
16 Apr 21	1	966	NA	1
15 Apr 21	1	965	NA	1
14 Apr 21	7	964	NA	7
13 Apr 21	3	957	NA	3
12 Apr 21	1	954	NA	1
11 Apr 21	2	953	NA	2
10 Apr 21	0	951	NA	0
09 Apr 21	0	951	NA	0
08 Apr 21	0	951	NA	0
07 Apr 21	1	951	NA	1
06 Apr 21	2	950	NA	2
05 Apr 21	1	948	NA	1
04 Apr 21	3	947	NA	3
03 Apr 21	0	944	NA	0
02 Apr 21	0	944	NA	0
01 Apr 21	2	944	NA	2
31 Mar 21	4	942	NA	4
30 Mar 21	0	938	NA	0
29 Mar 21	3	938	NA	3
28 Mar 21	1	935	NA	1
27 Mar 21	0	934	NA	0
26 Mar 21	0	934	NA	0
25 Mar 21	2	934	NA	2
24 Mar 21	1	932	NA	1
23 Mar 21	0	931	NA	0
22 Mar 21	1	931	NA	1
21 Mar 21	0	930	NA	0
20 Mar 21	1	930	NA	1
19 Mar 21	2	929	NA	2
18 Mar 21	0	927	NA	0
17 Mar 21	1	927	NA	1
16 Mar 21	1	926	NA	1
15 Mar 21	1	925	NA	1
14 Mar 21	1	924	NA	1
13 Mar 21	1	923	NA	1
12 Mar 21	0	922	NA	0
11 Mar 21	1	922	NA	1
10 Mar 21	2	921	NA	1
09 Mar 21	1	920	NA	1
08 Mar 21	2	919	NA	2
07 Mar 21	1	917	NA	1
06 Mar 21	2	916	NA	2
05 Mar 21	0	914	NA	0
04 Mar 21	0	914	NA	0
03 Mar 21	1	914	NA	1
02 Mar 21	0	913	NA	0
01 Mar 21	0	913	NA	0
28 Feb 21	0	913	NA	0
27 Feb 21	0	913	NA	0
26 Feb 21	0	913	NA	0
25 Feb 21	0	913	NA	0
24 Feb 21	0	913	NA	0
23 Feb 21	1	913	NA	1
22 Feb 21	1	912	NA	1
21 Feb 21	1	911	NA	1
20 Feb 21	0	910	NA	0
19 Feb 21	0	910	NA	0
18 Feb 21	0	910	NA	0
17 Feb 21	0	910	NA	0
16 Feb 21	0	910	NA	0
15 Feb 21	0	910	NA	0
14 Feb 21	0	910	NA	0
13 Feb 21	0	910	NA	0
12 Feb 21	0	910	NA	0
11 Feb 21	1	910	NA	1
10 Feb 21	2	909	NA	2
09 Feb 21	0	907	NA	0
08 Feb 21	0	907	NA	0
07 Feb 21	0	907	NA	0
06 Feb 21	0	907	NA	0
05 Feb 21	1	907	NA	1
04 Feb 21	2	906	NA	2
03 Feb 21	0	904	NA	0
02 Feb 21	1	904	NA	1
01 Feb 21	1	903	NA	1
31 Jan 21	0	902	NA	0
30 Jan 21	3	902	NA	3
29 Jan 21	1	899	NA	1
28 Jan 21	1	898	NA	1
27 Jan 21	2	897	NA	2
26 Jan 21	1	895	NA	1
25 Jan 21	0	894	NA	0
24 Jan 21	2	894	NA	2
23 Jan 21	2	892	NA	2
22 Jan 21	2	890	NA	2
21 Jan 21	0	888	NA	0
20 Jan 21	0	888	NA	0
19 Jan 21	1	888	NA	1
18 Jan 21	0	887	NA	0
17 Jan 21	1	887	NA	1
16 Jan 21	2	886	NA	2
15 Jan 21	3	884	NA	3
14 Jan 21	2	881	NA	2
13 Jan 21	1	879	NA	1
12 Jan 21	1	878	NA	1
11 Jan 21	2	877	NA	2
10 Jan 21	0	875	NA	0
09 Jan 21	1	875	NA	1
08 Jan 21	0	874	NA	0
07 Jan 21	2	874	NA	2
06 Jan 21	3	872	NA	3
05 Jan 21	1	869	NA	1
04 Jan 21	1	868	NA	1
03 Jan 21	1	867	NA	1
02 Jan 21	3	866	NA	3
01 Jan 21	2	863	NA	2
31 Dec 20	2	861	NA	2
30 Dec 20	0	859	NA	0
29 Dec 20	1	859	NA	1
28 Dec 20	3	858	NA	3
27 Dec 20	2	855	NA	2
26 Dec 20	5	853	NA	5
25 Dec 20	1	848	NA	1
24 Dec 20	1	847	NA	1
23 Dec 20	0	846	NA	0
22 Dec 20	0	846	NA	0
21 Dec 20	1	846	NA	1
20 Dec 20	0	845	NA	0
19 Dec 20	1	845	NA	1
18 Dec 20	1	844	NA	1
17 Dec 20	1	843	NA	1
16 Dec 20	4	842	NA	4
