DATE	DEATHS	VAR	NET
18 Aug 23	7,603	NA	19
11 Aug 23	7,584	NA	36
04 Aug 23	7,548	NA	20
28 Jul 23	7,528	NA	34
21 Jul 23	7,494	NA	31
14 Jul 23	7,463	NA	70
07 Jul 23	7,393	NA	51
30 Jun 23	7,342	NA	97
23 Jun 23	7,245	NA	85
16 Jun 23	7,160	NA	53
09 Jun 23	7,107	NA	81
02 Jun 23	7,026	NA	64
26 May 23	6,962	NA	69
19 May 23	6,893	NA	61
12 May 23	6,832	NA	59
05 May 23	6,773	NA	53
28 Apr 23	6,720	NA	35
21 Apr 23	6,685	NA	29
14 Apr 23	6,656	NA	22
07 Apr 23	6,634	NA	36
31 Mar 23	6,598	NA	25
24 Mar 23	6,573	NA	22
17 Mar 23	6,551	NA	22
10 Mar 23	6,529	NA	36
03 Mar 23	6,493	NA	29
24 Feb 23	6,464	NA	47
17 Feb 23	6,417	NA	51
10 Feb 23	6,366	NA	62
03 Feb 23	6,304	NA	86
27 Jan 23	6,218	NA	94
20 Jan 23	6,124	NA	131
13 Jan 23	5,993	NA	112
06 Jan 23	5,881	NA	77
30 Dec 22	5,804	NA	32
23 Dec 22	5,772	NA	78
16 Dec 22	5,694	NA	74
09 Dec 22	5,620	NA	48
02 Dec 22	5,572	NA	32
25 Nov 22	5,540	NA	25
18 Nov 22	5,515	NA	39
11 Nov 22	5,476	NA	22
04 Nov 22	5,454	NA	24
28 Oct 22	5,430	NA	16
21 Oct 22	5,414	NA	22
14 Oct 22	5,392	NA	37
07 Oct 22	5,355	NA	41
30 Sep 22	5,314	NA	82
23 Sep 22	5,232	NA	69
16 Sep 22	5,163	NA	117
09 Sep 22	5,046	NA	20
08 Sep 22	5,026	NA	25
07 Sep 22	5,001	NA	21
06 Sep 22	4,980	NA	27
05 Sep 22	4,953	NA	1
04 Sep 22	4,952	NA	6
03 Sep 22	4,946	NA	18
02 Sep 22	4,928	NA	21
01 Sep 22	4,907	NA	23
31 Aug 22	4,884	NA	22
30 Aug 22	4,862	NA	37
29 Aug 22	4,825	NA	4
28 Aug 22	4,821	NA	5
27 Aug 22	4,816	NA	20
26 Aug 22	4,796	NA	22
25 Aug 22	4,774	NA	29
24 Aug 22	4,745	NA	14
23 Aug 22	4,731	NA	32
22 Aug 22	4,699	NA	3
21 Aug 22	4,696	NA	16
20 Aug 22	4,680	NA	34
19 Aug 22	4,646	NA	22
18 Aug 22	4,624	NA	43
17 Aug 22	4,581	NA	26
16 Aug 22	4,555	NA	24
15 Aug 22	4,531	NA	6
14 Aug 22	4,525	NA	9
13 Aug 22	4,516	NA	35
12 Aug 22	4,481	NA	35
11 Aug 22	4,446	NA	29
10 Aug 22	4,417	NA	30
09 Aug 22	4,387	NA	25
08 Aug 22	4,362	NA	4
07 Aug 22	4,358	NA	15
06 Aug 22	4,343	NA	30
05 Aug 22	4,313	NA	29
04 Aug 22	4,284	NA	33
03 Aug 22	4,251	NA	39
02 Aug 22	4,212	NA	47
01 Aug 22	4,165	NA	7
31 Jul 22	4,158	NA	5
30 Jul 22	4,153	NA	46
29 Jul 22	4,107	NA	22
28 Jul 22	4,085	NA	34
27 Jul 22	4,051	NA	20
26 Jul 22	4,031	NA	30
25 Jul 22	4,001	NA	7
24 Jul 22	3,994	NA	14
23 Jul 22	3,980	NA	41
22 Jul 22	3,939	NA	15
21 Jul 22	3,924	NA	25
20 Jul 22	3,899	NA	20
19 Jul 22	3,879	NA	26
18 Jul 22	3,853	NA	5
17 Jul 22	3,848	NA	12
16 Jul 22	3,836	NA	38
15 Jul 22	3,798	NA	13
14 Jul 22	3,785	NA	36
13 Jul 22	3,749	NA	14
12 Jul 22	3,735	NA	20
11 Jul 22	3,715	NA	8
10 Jul 22	3,707	NA	8
09 Jul 22	3,699	NA	33
08 Jul 22	3,666	NA	7
07 Jul 22	3,659	NA	22
06 Jul 22	3,637	NA	10
05 Jul 22	3,627	NA	14
04 Jul 22	3,613	NA	1
03 Jul 22	3,612	NA	2
02 Jul 22	3,610	NA	20
01 Jul 22	3,590	NA	9
30 Jun 22	3,581	NA	23
29 Jun 22	3,558	NA	11
28 Jun 22	3,547	NA	40
27 Jun 22	3,507	NA	10
26 Jun 22	3,497	NA	7
25 Jun 22	3,490	NA	21
24 Jun 22	3,469	NA	13
23 Jun 22	3,456	NA	26
22 Jun 22	3,430	NA	26
21 Jun 22	3,404	NA	7
20 Jun 22	3,397	NA	5
19 Jun 22	3,392	NA	7
18 Jun 22	3,385	NA	25
17 Jun 22	3,360	NA	7
16 Jun 22	3,353	NA	17
15 Jun 22	3,336	NA	14
14 Jun 22	3,322	NA	3
13 Jun 22	3,319	NA	3
12 Jun 22	3,316	NA	5
11 Jun 22	3,311	NA	22
10 Jun 22	3,289	NA	11
09 Jun 22	3,278	NA	21
08 Jun 22	3,257	NA	10
07 Jun 22	3,247	NA	8
06 Jun 22	3,239	NA	3
05 Jun 22	3,236	NA	5
04 Jun 22	3,231	NA	18
03 Jun 22	3,213	NA	11
02 Jun 22	3,202	NA	23
01 Jun 22	3,179	NA	9
31 May 22	3,170	NA	19
30 May 22	3,151	NA	1
29 May 22	3,150	NA	4
28 May 22	3,146	NA	25
27 May 22	3,121	NA	9
26 May 22	3,112	NA	30
25 May 22	3,082	NA	11
24 May 22	3,071	NA	14
23 May 22	3,057	NA	5
22 May 22	3,052	NA	7
21 May 22	3,045	NA	14
20 May 22	3,031	NA	9
19 May 22	3,022	NA	22
18 May 22	3,000	NA	14
17 May 22	2,986	NA	16
16 May 22	2,970	NA	4
