DATE	DEATHS	VAR	NET
18 Aug 23	3,075	NA	0
11 Aug 23	3,075	NA	0
04 Aug 23	3,075	NA	0
28 Jul 23	3,075	NA	0
21 Jul 23	3,075	NA	7
14 Jul 23	3,068	NA	0
07 Jul 23	3,068	NA	14
30 Jun 23	3,054	NA	21
23 Jun 23	3,033	NA	14
16 Jun 23	3,019	NA	14
09 Jun 23	3,005	NA	14
02 Jun 23	2,991	NA	14
26 May 23	2,977	NA	21
19 May 23	2,956	NA	21
12 May 23	2,935	NA	14
05 May 23	2,921	NA	12
28 Apr 23	2,909	NA	16
21 Apr 23	2,893	NA	18
14 Apr 23	2,875	NA	17
07 Apr 23	2,858	NA	8
31 Mar 23	2,850	NA	16
24 Mar 23	2,834	NA	16
17 Mar 23	2,818	NA	22
10 Mar 23	2,796	NA	13
03 Mar 23	2,783	NA	23
24 Feb 23	2,760	NA	26
17 Feb 23	2,734	NA	24
10 Feb 23	2,710	NA	33
03 Feb 23	2,677	NA	34
27 Jan 23	2,643	NA	69
20 Jan 23	2,574	NA	48
13 Jan 23	2,526	NA	77
06 Jan 23	2,449	NA	44
30 Dec 22	2,405	NA	0
23 Dec 22	2,405	NA	11
16 Dec 22	2,394	NA	33
09 Dec 22	2,361	NA	15
02 Dec 22	2,346	NA	15
25 Nov 22	2,331	NA	14
18 Nov 22	2,317	NA	14
11 Nov 22	2,303	NA	15
04 Nov 22	2,288	NA	14
28 Oct 22	2,274	NA	18
21 Oct 22	2,256	NA	20
14 Oct 22	2,236	NA	21
07 Oct 22	2,215	NA	14
30 Sep 22	2,201	NA	75
23 Sep 22	2,126	NA	34
16 Sep 22	2,092	NA	44
09 Sep 22	2,048	NA	10
08 Sep 22	2,038	NA	11
07 Sep 22	2,027	NA	24
06 Sep 22	2,003	NA	15
05 Sep 22	1,988	NA	2
04 Sep 22	1,986	NA	0
03 Sep 22	1,986	NA	0
02 Sep 22	1,986	NA	1
01 Sep 22	1,985	NA	16
31 Aug 22	1,969	NA	14
30 Aug 22	1,955	NA	18
29 Aug 22	1,937	NA	0
28 Aug 22	1,937	NA	0
27 Aug 22	1,937	NA	18
26 Aug 22	1,919	NA	7
25 Aug 22	1,912	NA	12
24 Aug 22	1,900	NA	29
23 Aug 22	1,871	NA	26
22 Aug 22	1,845	NA	0
21 Aug 22	1,845	NA	0
20 Aug 22	1,845	NA	20
19 Aug 22	1,825	NA	14
18 Aug 22	1,811	NA	20
17 Aug 22	1,791	NA	17
16 Aug 22	1,774	NA	17
15 Aug 22	1,757	NA	0
14 Aug 22	1,757	NA	0
13 Aug 22	1,757	NA	16
12 Aug 22	1,741	NA	18
11 Aug 22	1,723	NA	11
10 Aug 22	1,712	NA	35
09 Aug 22	1,677	NA	24
08 Aug 22	1,653	NA	0
07 Aug 22	1,653	NA	0
06 Aug 22	1,653	NA	18
05 Aug 22	1,635	NA	8
04 Aug 22	1,627	NA	31
03 Aug 22	1,596	NA	6
02 Aug 22	1,590	NA	23
01 Aug 22	1,567	NA	0
31 Jul 22	1,567	NA	0
30 Jul 22	1,567	NA	13
29 Jul 22	1,554	NA	17
28 Jul 22	1,537	NA	27
27 Jul 22	1,510	NA	19
26 Jul 22	1,491	NA	21
25 Jul 22	1,470	NA	0
24 Jul 22	1,470	NA	0
23 Jul 22	1,470	NA	8
22 Jul 22	1,462	NA	10
21 Jul 22	1,452	NA	10
20 Jul 22	1,442	NA	15
19 Jul 22	1,427	NA	18
18 Jul 22	1,409	NA	-1
17 Jul 22	1,410	NA	0
16 Jul 22	1,410	NA	22
15 Jul 22	1,388	NA	20
14 Jul 22	1,368	NA	18
13 Jul 22	1,350	NA	12
12 Jul 22	1,338	NA	15
11 Jul 22	1,323	NA	0
10 Jul 22	1,323	NA	0
09 Jul 22	1,323	NA	8
08 Jul 22	1,315	NA	13
07 Jul 22	1,302	NA	17
06 Jul 22	1,285	NA	4
05 Jul 22	1,281	NA	11
04 Jul 22	1,270	NA	0
03 Jul 22	1,270	NA	0
02 Jul 22	1,270	NA	16
01 Jul 22	1,254	NA	6
30 Jun 22	1,248	NA	10
29 Jun 22	1,238	NA	20
28 Jun 22	1,218	NA	19
27 Jun 22	1,199	NA	0
26 Jun 22	1,199	NA	2
25 Jun 22	1,197	NA	5
24 Jun 22	1,192	NA	6
23 Jun 22	1,186	NA	5
22 Jun 22	1,181	NA	6
21 Jun 22	1,175	NA	4
20 Jun 22	1,171	NA	0
19 Jun 22	1,171	NA	0
18 Jun 22	1,171	NA	8
17 Jun 22	1,163	NA	11
16 Jun 22	1,152	NA	13
15 Jun 22	1,139	NA	13
14 Jun 22	1,126	NA	6
13 Jun 22	1,120	NA	1
12 Jun 22	1,119	NA	1
11 Jun 22	1,118	NA	7
10 Jun 22	1,111	NA	1
09 Jun 22	1,110	NA	9
08 Jun 22	1,101	NA	14
07 Jun 22	1,087	NA	2
06 Jun 22	1,085	NA	0
05 Jun 22	1,085	NA	1
04 Jun 22	1,084	NA	11
03 Jun 22	1,073	NA	6
02 Jun 22	1,067	NA	10
01 Jun 22	1,057	NA	6
31 May 22	1,051	NA	11
30 May 22	1,040	NA	1
29 May 22	1,039	NA	2
28 May 22	1,037	NA	3
27 May 22	1,034	NA	7
26 May 22	1,027	NA	19
25 May 22	1,008	NA	10
24 May 22	998	NA	18
23 May 22	980	NA	1
22 May 22	979	NA	0
21 May 22	979	NA	9
20 May 22	970	NA	9
19 May 22	961	NA	2
18 May 22	959	NA	7
17 May 22	952	NA	12
16 May 22	940	NA	0
15 May 22	940	NA	2
14 May 22	938	NA	5
13 May 22	933	NA	12
12 May 22	921	NA	3
11 May 22	918	NA	10
10 May 22	908	NA	3
09 May 22	905	NA	0
08 May 22	905	NA	2
07 May 22	903	NA	5
06 May 22	898	NA	11
05 May 22	887	NA	11
04 May 22	876	NA	8
03 May 22	868	NA	0
02 May 22	868	NA	0
01 May 22	868	NA	0
30 Apr 22	868	NA	5
29 Apr 22	863	NA	6
28 Apr 22	857	NA	7
27 Apr 22	850	NA	9
26 Apr 22	841	NA	1
25 Apr 22	840	NA	2
24 Apr 22	838	NA	3
23 Apr 22	835	NA	7
22 Apr 22	828	NA	5
21 Apr 22	823	NA	15
20 Apr 22	808	NA	6
19 Apr 22	802	NA	0
18 Apr 22	802	NA	4
17 Apr 22	798	NA	0
16 Apr 22	798	NA	1
15 Apr 22	797	NA	2
14 Apr 22	795	NA	4
13 Apr 22	791	NA	10
12 Apr 22	781	NA	6
11 Apr 22	775	NA	0
10 Apr 22	775	NA	1
09 Apr 22	774	NA	2
08 Apr 22	772	NA	9
07 Apr 22	763	NA	7
06 Apr 22	756	NA	1
05 Apr 22	755	NA	8
04 Apr 22	747	NA	1
03 Apr 22	746	NA	0
02 Apr 22	746	NA	6
01 Apr 22	740	NA	3
31 Mar 22	737	NA	5
30 Mar 22	732	NA	5
29 Mar 22	727	NA	9
28 Mar 22	718	NA	0
27 Mar 22	718	NA	1
26 Mar 22	717	NA	8
25 Mar 22	709	NA	3
24 Mar 22	706	NA	6
23 Mar 22	700	NA	6
22 Mar 22	694	NA	9
21 Mar 22	685	NA	2
20 Mar 22	683	NA	0
19 Mar 22	683	NA	10
18 Mar 22	673	NA	11
17 Mar 22	662	NA	10
16 Mar 22	652	NA	8
15 Mar 22	644	NA	10
14 Mar 22	634	NA	2
13 Mar 22	632	NA	3
12 Mar 22	629	NA	6
11 Mar 22	623	NA	8
10 Mar 22	615	NA	5
09 Mar 22	610	NA	13
08 Mar 22	597	NA	5
07 Mar 22	592	NA	1
06 Mar 22	591	NA	2
05 Mar 22	589	NA	12
04 Mar 22	577	NA	7
03 Mar 22	570	NA	6
02 Mar 22	564	NA	24
01 Mar 22	540	NA	10
28 Feb 22	530	NA	1
27 Feb 22	529	NA	1
26 Feb 22	528	NA	8
25 Feb 22	520	NA	7
24 Feb 22	513	NA	8
23 Feb 22	505	NA	37
22 Feb 22	468	NA	5
21 Feb 22	463	NA	5
20 Feb 22	458	NA	2
19 Feb 22	456	NA	10
18 Feb 22	446	NA	6
17 Feb 22	440	NA	41
16 Feb 22	399	NA	12
15 Feb 22	387	NA	10
14 Feb 22	377	NA	6
13 Feb 22	371	NA	4
12 Feb 22	367	NA	13
11 Feb 22	354	NA	14
10 Feb 22	340	NA	15
09 Feb 22	325	NA	17
08 Feb 22	308	NA	12
07 Feb 22	296	NA	19
06 Feb 22	277	NA	9
05 Feb 22	268	NA	21
04 Feb 22	247	NA	13
03 Feb 22	234	NA	9
02 Feb 22	225	NA	16
01 Feb 22	209	NA	10
31 Jan 22	199	NA	3
30 Jan 22	196	NA	13
29 Jan 22	183	NA	11
28 Jan 22	172	NA	19
27 Jan 22	153	NA	15
26 Jan 22	138	NA	9
25 Jan 22	129	NA	11
24 Jan 22	118	NA	13
23 Jan 22	105	NA	10
22 Jan 22	95	NA	10
21 Jan 22	85	NA	13
20 Jan 22	72	NA	9
19 Jan 22	63	NA	11
18 Jan 22	52	NA	16
17 Jan 22	36	NA	7
16 Jan 22	29	NA	3
15 Jan 22	26	NA	6
14 Jan 22	20	NA	3
13 Jan 22	17	NA	6
12 Jan 22	11	NA	0
11 Jan 22	11	NA	1
10 Jan 22	10	NA	0
09 Jan 22	10	NA	1
08 Jan 22	9	NA	1
07 Jan 22	8	NA	1
06 Jan 22	7	NA	0
05 Jan 22	7	NA	0
04 Jan 22	7	NA	0
03 Jan 22	7	NA	0
02 Jan 22	7	NA	0
01 Jan 22	7	NA	0
31 Dec 21	7	NA	0
30 Dec 21	7	NA	0
29 Dec 21	7	NA	0
28 Dec 21	7	NA	0
27 Dec 21	7	NA	0
26 Dec 21	7	NA	0
25 Dec 21	7	NA	0
24 Dec 21	7	NA	0
23 Dec 21	7	NA	0
22 Dec 21	7	NA	0
21 Dec 21	7	NA	0
20 Dec 21	7	NA	0
19 Dec 21	7	NA	0
18 Dec 21	7	NA	0
17 Dec 21	7	NA	0
16 Dec 21	7	NA	0
15 Dec 21	7	NA	0
14 Dec 21	7	NA	0
13 Dec 21	7	NA	0
12 Dec 21	7	NA	0
11 Dec 21	7	NA	0
10 Dec 21	7	NA	0
09 Dec 21	7	NA	0
08 Dec 21	7	NA	0
07 Dec 21	7	NA	0
06 Dec 21	7	NA	0
05 Dec 21	7	NA	0
04 Dec 21	7	NA	0
03 Dec 21	7	NA	0
02 Dec 21	7	NA	0
01 Dec 21	7	NA	0
30 Nov 21	7	NA	0
29 Nov 21	7	NA	0
28 Nov 21	7	NA	0
27 Nov 21	7	NA	0
26 Nov 21	7	NA	0
25 Nov 21	7	NA	0
24 Nov 21	7	NA	0
23 Nov 21	7	NA	0
22 Nov 21	7	NA	0
21 Nov 21	7	NA	0
20 Nov 21	7	NA	0
19 Nov 21	7	NA	0
18 Nov 21	7	NA	0
17 Nov 21	7	NA	0
16 Nov 21	7	NA	0
15 Nov 21	7	NA	0
14 Nov 21	7	NA	0
13 Nov 21	7	NA	0
12 Nov 21	7	NA	0
11 Nov 21	7	NA	0
10 Nov 21	7	NA	0
09 Nov 21	7	NA	0
08 Nov 21	7	NA	0
07 Nov 21	7	NA	0
06 Nov 21	7	NA	0
05 Nov 21	7	NA	0
04 Nov 21	7	NA	0
03 Nov 21	7	NA	0
02 Nov 21	7	NA	0
01 Nov 21	7	NA	0
31 Oct 21	7	NA	0
30 Oct 21	7	NA	0
29 Oct 21	7	NA	0
28 Oct 21	7	NA	0
27 Oct 21	7	NA	0
26 Oct 21	7	NA	0
25 Oct 21	7	NA	0
24 Oct 21	7	NA	0
23 Oct 21	7	NA	0
22 Oct 21	7	NA	0
21 Oct 21	7	NA	0
20 Oct 21	7	NA	0
19 Oct 21	7	NA	0
18 Oct 21	7	NA	0
17 Oct 21	7	NA	0
16 Oct 21	7	NA	0
15 Oct 21	7	NA	0
14 Oct 21	7	NA	0
13 Oct 21	7	NA	0
12 Oct 21	7	NA	0
11 Oct 21	7	NA	0
10 Oct 21	7	NA	0
09 Oct 21	7	NA	0
08 Oct 21	7	NA	0
07 Oct 21	7	NA	0
06 Oct 21	7	NA	0
05 Oct 21	7	NA	0
04 Oct 21	7	NA	0
03 Oct 21	7	NA	0
02 Oct 21	7	NA	0
01 Oct 21	7	NA	0
30 Sep 21	7	NA	0
29 Sep 21	7	NA	0
28 Sep 21	7	NA	0
27 Sep 21	7	NA	0
26 Sep 21	7	NA	0
25 Sep 21	7	NA	0
24 Sep 21	7	NA	0
23 Sep 21	7	NA	0
22 Sep 21	7	NA	0
21 Sep 21	7	NA	0
20 Sep 21	7	NA	0
19 Sep 21	7	NA	0
18 Sep 21	7	NA	0
17 Sep 21	7	NA	0
16 Sep 21	7	NA	0
15 Sep 21	7	NA	0
14 Sep 21	7	NA	0
13 Sep 21	7	NA	0
12 Sep 21	7	NA	0
11 Sep 21	7	NA	0
10 Sep 21	7	NA	0
09 Sep 21	7	NA	0
08 Sep 21	7	NA	0
07 Sep 21	7	NA	0
06 Sep 21	7	NA	0
05 Sep 21	7	NA	0
04 Sep 21	7	NA	0
03 Sep 21	7	NA	0
02 Sep 21	7	NA	0
01 Sep 21	7	NA	0
