DATE	DEATHS	VAR	NET
18 Aug 23	8,347	NA	15
11 Aug 23	8,332	NA	27
04 Aug 23	8,305	NA	29
28 Jul 23	8,276	NA	42
21 Jul 23	8,234	NA	45
14 Jul 23	8,189	NA	39
07 Jul 23	8,150	NA	52
30 Jun 23	8,098	NA	58
23 Jun 23	8,040	NA	35
16 Jun 23	8,005	NA	113
09 Jun 23	7,892	NA	62
02 Jun 23	7,830	NA	51
26 May 23	7,779	NA	59
19 May 23	7,720	NA	27
12 May 23	7,693	NA	56
05 May 23	7,637	NA	43
28 Apr 23	7,594	NA	43
21 Apr 23	7,551	NA	39
14 Apr 23	7,512	NA	29
07 Apr 23	7,483	NA	24
31 Mar 23	7,459	NA	35
24 Mar 23	7,424	NA	25
17 Mar 23	7,399	NA	29
10 Mar 23	7,370	NA	32
03 Mar 23	7,338	NA	21
24 Feb 23	7,317	NA	31
17 Feb 23	7,286	NA	54
10 Feb 23	7,232	NA	51
03 Feb 23	7,181	NA	65
27 Jan 23	7,116	NA	322
20 Jan 23	6,794	NA	156
13 Jan 23	6,638	NA	148
06 Jan 23	6,490	NA	108
30 Dec 22	6,382	NA	69
23 Dec 22	6,313	NA	97
16 Dec 22	6,216	NA	84
09 Dec 22	6,132	NA	85
02 Dec 22	6,047	NA	54
25 Nov 22	5,993	NA	62
18 Nov 22	5,931	NA	35
11 Nov 22	5,896	NA	40
04 Nov 22	5,856	NA	23
28 Oct 22	5,833	NA	49
21 Oct 22	5,784	NA	33
14 Oct 22	5,751	NA	45
07 Oct 22	5,706	NA	42
30 Sep 22	5,664	NA	92
23 Sep 22	5,572	NA	42
16 Sep 22	5,530	NA	66
09 Sep 22	5,464	NA	41
08 Sep 22	5,423	NA	24
07 Sep 22	5,399	NA	11
06 Sep 22	5,388	NA	25
05 Sep 22	5,363	NA	4
04 Sep 22	5,359	NA	8
03 Sep 22	5,351	NA	10
02 Sep 22	5,341	NA	16
01 Sep 22	5,325	NA	18
31 Aug 22	5,307	NA	25
30 Aug 22	5,282	NA	18
29 Aug 22	5,264	NA	3
28 Aug 22	5,261	NA	9
27 Aug 22	5,252	NA	39
26 Aug 22	5,213	NA	24
25 Aug 22	5,189	NA	39
24 Aug 22	5,150	NA	10
23 Aug 22	5,140	NA	25
22 Aug 22	5,115	NA	4
21 Aug 22	5,111	NA	18
20 Aug 22	5,093	NA	30
19 Aug 22	5,063	NA	27
18 Aug 22	5,036	NA	46
17 Aug 22	4,990	NA	15
16 Aug 22	4,975	NA	20
15 Aug 22	4,955	NA	15
14 Aug 22	4,940	NA	24
13 Aug 22	4,916	NA	22
12 Aug 22	4,894	NA	14
11 Aug 22	4,880	NA	36
10 Aug 22	4,844	NA	50
09 Aug 22	4,794	NA	43
08 Aug 22	4,751	NA	1
07 Aug 22	4,750	NA	3
06 Aug 22	4,747	NA	24
05 Aug 22	4,723	NA	34
04 Aug 22	4,689	NA	9
03 Aug 22	4,680	NA	6
02 Aug 22	4,674	NA	13
01 Aug 22	4,661	NA	2
31 Jul 22	4,659	NA	21
30 Jul 22	4,638	NA	61
29 Jul 22	4,577	NA	107
28 Jul 22	4,470	NA	37
27 Jul 22	4,433	NA	32
26 Jul 22	4,401	NA	40
25 Jul 22	4,361	NA	0
24 Jul 22	4,361	NA	12
23 Jul 22	4,349	NA	44
22 Jul 22	4,305	NA	25
21 Jul 22	4,280	NA	37
20 Jul 22	4,243	NA	28
19 Jul 22	4,215	NA	25
18 Jul 22	4,190	NA	18
17 Jul 22	4,172	NA	16
16 Jul 22	4,156	NA	8
15 Jul 22	4,148	NA	17
14 Jul 22	4,131	NA	20
13 Jul 22	4,111	NA	20
12 Jul 22	4,091	NA	16
11 Jul 22	4,075	NA	0
10 Jul 22	4,075	NA	2
09 Jul 22	4,073	NA	20
08 Jul 22	4,053	NA	9
07 Jul 22	4,044	NA	11
06 Jul 22	4,033	NA	24
05 Jul 22	4,009	NA	16
04 Jul 22	3,993	NA	24
03 Jul 22	3,969	NA	22
02 Jul 22	3,947	NA	13
01 Jul 22	3,934	NA	12
30 Jun 22	3,922	NA	17
29 Jun 22	3,905	NA	23
28 Jun 22	3,882	NA	11
27 Jun 22	3,871	NA	1
26 Jun 22	3,870	NA	15
25 Jun 22	3,855	NA	24
24 Jun 22	3,831	NA	20
23 Jun 22	3,811	NA	9
22 Jun 22	3,802	NA	24
21 Jun 22	3,778	NA	28
20 Jun 22	3,750	NA	0
19 Jun 22	3,750	NA	19
18 Jun 22	3,731	NA	29
17 Jun 22	3,702	NA	18
16 Jun 22	3,684	NA	21
15 Jun 22	3,663	NA	18
14 Jun 22	3,645	NA	15
13 Jun 22	3,630	NA	3
12 Jun 22	3,627	NA	16
11 Jun 22	3,611	NA	23
10 Jun 22	3,588	NA	19
09 Jun 22	3,569	NA	22
08 Jun 22	3,547	NA	25
07 Jun 22	3,522	NA	12
06 Jun 22	3,510	NA	14
05 Jun 22	3,496	NA	16
04 Jun 22	3,480	NA	16
03 Jun 22	3,464	NA	22
02 Jun 22	3,442	NA	10
01 Jun 22	3,432	NA	15
31 May 22	3,417	NA	19
30 May 22	3,398	NA	1
29 May 22	3,397	NA	16
28 May 22	3,381	NA	22
27 May 22	3,359	NA	9
26 May 22	3,350	NA	18
25 May 22	3,332	NA	64
24 May 22	3,268	NA	16
23 May 22	3,252	NA	5
22 May 22	3,247	NA	10
21 May 22	3,237	NA	21
20 May 22	3,216	NA	23
19 May 22	3,193	NA	13
18 May 22	3,180	NA	22
17 May 22	3,158	NA	20
16 May 22	3,138	NA	5
15 May 22	3,133	NA	10
14 May 22	3,123	NA	22
13 May 22	3,101	NA	18
12 May 22	3,083	NA	15
11 May 22	3,068	NA	16
10 May 22	3,052	NA	18
09 May 22	3,034	NA	0
08 May 22	3,034	NA	4
07 May 22	3,030	NA	9
06 May 22	3,021	NA	9
05 May 22	3,012	NA	14
04 May 22	2,998	NA	11
03 May 22	2,987	NA	12
02 May 22	2,975	NA	1
01 May 22	2,974	NA	7
30 Apr 22	2,967	NA	19
29 Apr 22	2,948	NA	7
28 Apr 22	2,941	NA	9
27 Apr 22	2,932	NA	13
26 Apr 22	2,919	NA	17
25 Apr 22	2,902	NA	2
24 Apr 22	2,900	NA	2
23 Apr 22	2,898	NA	11
22 Apr 22	2,887	NA	16
21 Apr 22	2,871	NA	11
20 Apr 22	2,860	NA	12
19 Apr 22	2,848	NA	7
18 Apr 22	2,841	NA	1
17 Apr 22	2,840	NA	2
16 Apr 22	2,838	NA	8
15 Apr 22	2,830	NA	7
14 Apr 22	2,823	NA	14
13 Apr 22	2,809	NA	14
12 Apr 22	2,795	NA	12
11 Apr 22	2,783	NA	1
10 Apr 22	2,782	NA	1
09 Apr 22	2,781	NA	7
08 Apr 22	2,774	NA	4
07 Apr 22	2,770	NA	4
06 Apr 22	2,766	NA	3
05 Apr 22	2,763	NA	8
04 Apr 22	2,755	NA	1
03 Apr 22	2,754	NA	2
02 Apr 22	2,752	NA	3
01 Apr 22	2,749	NA	6
31 Mar 22	2,743	NA	4
30 Mar 22	2,739	NA	7
29 Mar 22	2,732	NA	5
28 Mar 22	2,727	NA	0
27 Mar 22	2,727	NA	5
26 Mar 22	2,722	NA	9
25 Mar 22	2,713	NA	9
24 Mar 22	2,704	NA	11
23 Mar 22	2,693	NA	11
22 Mar 22	2,682	NA	7
21 Mar 22	2,675	NA	0
20 Mar 22	2,675	NA	0
19 Mar 22	2,675	NA	2
18 Mar 22	2,673	NA	9
17 Mar 22	2,664	NA	7
16 Mar 22	2,657	NA	8
15 Mar 22	2,649	NA	4
14 Mar 22	2,645	NA	1
13 Mar 22	2,644	NA	4
12 Mar 22	2,640	NA	11
11 Mar 22	2,629	NA	10
10 Mar 22	2,619	NA	8
09 Mar 22	2,611	NA	9
08 Mar 22	2,602	NA	6
07 Mar 22	2,596	NA	2
06 Mar 22	2,594	NA	4
05 Mar 22	2,590	NA	24
04 Mar 22	2,566	NA	26
03 Mar 22	2,540	NA	23
02 Mar 22	2,517	NA	27
01 Mar 22	2,490	NA	18
28 Feb 22	2,472	NA	3
27 Feb 22	2,469	NA	17
26 Feb 22	2,452	NA	15
25 Feb 22	2,437	NA	11
24 Feb 22	2,426	NA	16
23 Feb 22	2,410	NA	18
22 Feb 22	2,392	NA	13
21 Feb 22	2,379	NA	3
20 Feb 22	2,376	NA	9
19 Feb 22	2,367	NA	20
18 Feb 22	2,347	NA	14
17 Feb 22	2,333	NA	9
16 Feb 22	2,324	NA	18
15 Feb 22	2,306	NA	20
14 Feb 22	2,286	NA	2
13 Feb 22	2,284	NA	18
12 Feb 22	2,266	NA	19
11 Feb 22	2,247	NA	12
10 Feb 22	2,235	NA	16
09 Feb 22	2,219	NA	21
08 Feb 22	2,198	NA	20
07 Feb 22	2,178	NA	7
06 Feb 22	2,171	NA	6
05 Feb 22	2,165	NA	41
04 Feb 22	2,124	NA	36
03 Feb 22	2,088	NA	34
02 Feb 22	2,054	NA	25
01 Feb 22	2,029	NA	34
31 Jan 22	1,995	NA	7
30 Jan 22	1,988	NA	18
29 Jan 22	1,970	NA	31
28 Jan 22	1,939	NA	39
27 Jan 22	1,900	NA	15
26 Jan 22	1,885	NA	54
25 Jan 22	1,831	NA	24
24 Jan 22	1,807	NA	10
23 Jan 22	1,797	NA	6
22 Jan 22	1,791	NA	20
21 Jan 22	1,771	NA	25
20 Jan 22	1,746	NA	10
19 Jan 22	1,736	NA	19
18 Jan 22	1,717	NA	23
17 Jan 22	1,694	NA	5
16 Jan 22	1,689	NA	8
15 Jan 22	1,681	NA	24
14 Jan 22	1,657	NA	18
13 Jan 22	1,639	NA	25
12 Jan 22	1,614	NA	21
11 Jan 22	1,593	NA	13
10 Jan 22	1,580	NA	2
09 Jan 22	1,578	NA	4
08 Jan 22	1,574	NA	9
07 Jan 22	1,565	NA	6
06 Jan 22	1,559	NA	6
05 Jan 22	1,553	NA	11
04 Jan 22	1,542	NA	2
03 Jan 22	1,540	NA	3
02 Jan 22	1,537	NA	3
01 Jan 22	1,534	NA	9
31 Dec 21	1,525	NA	7
30 Dec 21	1,518	NA	14
29 Dec 21	1,504	NA	5
28 Dec 21	1,499	NA	4
27 Dec 21	1,495	NA	3
