DATE	DEATHS	VAR	NET
18 Aug 23	1,231	NA	11
11 Aug 23	1,220	NA	10
04 Aug 23	1,210	NA	11
28 Jul 23	1,199	NA	60
21 Jul 23	1,139	NA	4
14 Jul 23	1,135	NA	6
07 Jul 23	1,129	NA	6
30 Jun 23	1,123	NA	2
23 Jun 23	1,121	NA	4
16 Jun 23	1,117	NA	7
09 Jun 23	1,110	NA	7
02 Jun 23	1,103	NA	15
26 May 23	1,088	NA	30
19 May 23	1,058	NA	5
12 May 23	1,053	NA	14
05 May 23	1,039	NA	11
28 Apr 23	1,028	NA	5
21 Apr 23	1,023	NA	13
14 Apr 23	1,010	NA	8
07 Apr 23	1,002	NA	3
31 Mar 23	999	NA	7
24 Mar 23	992	NA	7
17 Mar 23	985	NA	29
10 Mar 23	956	NA	4
03 Mar 23	952	NA	8
24 Feb 23	944	NA	2
17 Feb 23	942	NA	4
10 Feb 23	938	NA	7
03 Feb 23	931	NA	11
27 Jan 23	920	NA	19
20 Jan 23	901	NA	21
13 Jan 23	880	NA	24
06 Jan 23	856	NA	15
30 Dec 22	841	NA	4
23 Dec 22	837	NA	30
16 Dec 22	807	NA	15
09 Dec 22	792	NA	28
02 Dec 22	764	NA	14
25 Nov 22	750	NA	15
18 Nov 22	735	NA	15
11 Nov 22	720	NA	6
04 Nov 22	714	NA	18
28 Oct 22	696	NA	19
21 Oct 22	677	NA	3
14 Oct 22	674	NA	6
07 Oct 22	668	NA	10
30 Sep 22	658	NA	10
23 Sep 22	648	NA	9
16 Sep 22	639	NA	13
09 Sep 22	626	NA	0
08 Sep 22	626	NA	12
07 Sep 22	614	NA	2
06 Sep 22	612	NA	3
05 Sep 22	609	NA	2
04 Sep 22	607	NA	0
03 Sep 22	607	NA	4
02 Sep 22	603	NA	13
01 Sep 22	590	NA	1
31 Aug 22	589	NA	1
30 Aug 22	588	NA	1
29 Aug 22	587	NA	2
28 Aug 22	585	NA	1
27 Aug 22	584	NA	4
26 Aug 22	580	NA	3
25 Aug 22	577	NA	3
24 Aug 22	574	NA	1
23 Aug 22	573	NA	2
22 Aug 22	571	NA	0
21 Aug 22	571	NA	1
20 Aug 22	570	NA	2
19 Aug 22	568	NA	5
18 Aug 22	563	NA	9
17 Aug 22	554	NA	0
16 Aug 22	554	NA	1
15 Aug 22	553	NA	2
14 Aug 22	551	NA	0
13 Aug 22	551	NA	3
12 Aug 22	548	NA	5
11 Aug 22	543	NA	5
10 Aug 22	538	NA	4
09 Aug 22	534	NA	-1
08 Aug 22	535	NA	0
07 Aug 22	535	NA	10
06 Aug 22	525	NA	2
05 Aug 22	523	NA	0
04 Aug 22	523	NA	10
03 Aug 22	513	NA	4
02 Aug 22	509	NA	5
01 Aug 22	504	NA	1
31 Jul 22	503	NA	6
30 Jul 22	497	NA	9
29 Jul 22	488	NA	3
28 Jul 22	485	NA	5
